measure,value
input_file,D:\work\youtube_retrofit_project\topic_modeling_nmf\data\input\core_comments_substantive_ge3_words.csv
input_sha256,1fd8fdbf84bfb22aa7b22bb1e8633821938ee78cfb04917de7dd199f11b68350
text_column_selected,comment_text_for_coding
column_count,45
row_count,42487
expected_row_count,42487
row_count_matches_expected,True
unique_video_count,1159
expected_video_count,1159
video_count_matches_expected,True
unique_comment_id_count,42487
missing_comment_ids,0
duplicate_comment_id_rows,0
missing_selected_text,0
blank_selected_text,0
unique_selected_text_count,42343
duplicate_text_rows_across_corpus,253
duplicate_text_rows_within_video,102
minimum_word_count,3
median_word_count,30.0
mean_word_count,47.13345258549674
maximum_word_count,1430
minimum_character_count,8
median_character_count,162.0
mean_character_count,254.5917574787582
maximum_character_count,7785
