video_id,comment_id,retrofit_topic,creator_type,video_type,comment_text_for_coding
1sPJC71hwQ4,UgzdL6fU_Wv2CgOCGAN4AaABAg,smart_heating_controls,builder_contractor,how_to_installation_demo,"Hello I need help with this! I wanted to change my thermostat with a Nest Gen 4 wifi thermostat. I followed this video step by step but it seems that im not getting power to the thermostat. There must be a step that was left out in this video. I have the same furnace, i bought the same thermostat, same wires, did the same exact steps and connections but still not working. I can also send you pictures of my connections. That ground green C common wire serve as neutral connected to that screw doesn't seem to have power in it. Please help!"
1sPJC71hwQ4,UgzuFjYC4kGwLJPzXdx4AaABAg,smart_heating_controls,builder_contractor,how_to_installation_demo,"Hello I need help with this! I wanted to change my thermostat with a Nest Gen 4 wifi thermostat. I followed this video step by step but it seems that im not getting power to the thermostat. There must be a step that was left out in this video. I have the same furnace, i bought the same thermostat, same wires, did the same exact steps and connections but still not working. I can also send you pictures of my connections. That ground green C common wire serve as neutral connected to that screw doesn't seem to have power in it. Please help!"
2iLjP5z0jXo,UgxIjzuDV-oEa6iFfUF4AaABAg,external_wall_insulation,builder_contractor,practical_advice_explainer,As long as it’s fire proof
2iLjP5z0jXo,UgxqhS7WKSywkmG4laJ4AaABAg,external_wall_insulation,builder_contractor,practical_advice_explainer,As long as it’s fire proof
5-dPwCFkWE8,Ugw7KP16lLh5Z2B1yFF4AaABAg,smart_heating_controls,installer_tradesperson,how_to_installation_demo,"Bless you, kind sir, may you always have a warm house and low energy bills."
5-dPwCFkWE8,UgytAokB1eo6-cG0U-R4AaABAg,smart_heating_controls,installer_tradesperson,how_to_installation_demo,"Bless you, kind sir, may you always have a warm house and low energy bills."
5-dPwCFkWE8,Ugz8Kvu99-KUTRdpmxl4AaABAg,smart_heating_controls,installer_tradesperson,how_to_installation_demo,"Bless you, kind sir, may you always have a warm house and low energy bills."
6bQgwGQAHeU,UgxL8GpOl5bId_ModbV4AaABAg,ventilation_mvhr,diy_renovator_homeowner,how_to_installation_demo,Why not just use a core drill?
6bQgwGQAHeU,UgzRpCJjAHepGQA_QDt4AaABAg,ventilation_mvhr,diy_renovator_homeowner,how_to_installation_demo,Why not just use a core drill?
7cTCskg8G2I,UgwJVJuqoQztcD9C_2N4AaABAg,heat_pump_heating_retrofit,installer_tradesperson,practical_advice_explainer,"I live in Napa, Ca. My HVAC guy says I should get a duel duel because the house is 2900 sq ft with one unit. Solar is on roof. I agree natural gas should be there for those cold months."
7cTCskg8G2I,UgwPTTiCVC2c-3YlSEt4AaABAg,heat_pump_heating_retrofit,installer_tradesperson,practical_advice_explainer,"I live in Napa, Ca. My HVAC guy says I should get a duel duel because the house is 2900 sq ft with one unit. Solar is on roof. I agree natural gas should be there for those cold months."
8bdaCkOTNOQ,Ugwtz2hRNLHZm-M5LaB4AaABAg,heat_pump_heating_retrofit,installer_tradesperson,how_to_installation_demo,"Great stuff! How long did the installation part of this system take? (Site work, plumbing and electrical)"
8bdaCkOTNOQ,Ugydh3zf8xcJJ5o84KF4AaABAg,heat_pump_heating_retrofit,installer_tradesperson,how_to_installation_demo,"Great stuff! How long did the installation part of this system take? (Site work, plumbing and electrical)"
8bdaCkOTNOQ,UgzsYtBImcM5MZz7bep4AaABAg,heat_pump_heating_retrofit,installer_tradesperson,how_to_installation_demo,"Great stuff! How long did the installation part of this system take? (Site work, plumbing and electrical)"
9GLHP_fm-vU,UgxHiFpeP2reKS8aC5B4AaABAg,heat_pump_heating_retrofit,installer_tradesperson,how_to_installation_demo,Did you do this entire video without actually showing a picture of a heat pump?
9GLHP_fm-vU,Ugzmi7N-tSFUYkGxWj54AaABAg,heat_pump_heating_retrofit,installer_tradesperson,how_to_installation_demo,Did you do this entire video without actually showing a picture of a heat pump?
9OFpzKn0cq4,UgwYvzT4jj79hsg4JFV4AaABAg,loft_roof_insulation,diy_renovator_homeowner,problem_warning_mistakes,I went to a house that’s attic was recently spray foamed. They half way sprayed the whirlybird so air still gets in and out. They spray foam covered the bathroom vent too. The bathroom started to get mold in it so the home over asked me to check it out. Do I need to clear the foam from the whirlybird so it can spin? It’s not fully covered either
9OFpzKn0cq4,UgydIlt0Km7U09V2AGh4AaABAg,loft_roof_insulation,diy_renovator_homeowner,problem_warning_mistakes,I went to a house that’s attic was recently spray foamed. They half way sprayed the whirlybird so air still gets in and out. They spray foam covered the bathroom vent too. The bathroom started to get mold in it so the home over asked me to check it out. Do I need to clear the foam from the whirlybird so it can spin? It’s not fully covered either
AQ4EYHNCDzg,UgyH1r06O9XtF-bgiQN4AaABAg,heat_pump_heating_retrofit,diy_renovator_homeowner,how_to_installation_demo,Hi! Great video! I have one question/concern. I bought the valve that you’re recommending here to run vacuum on the lines and it doesn’t seem to engage the Senville valve enough to open it up. When I released a little Freon the manifold didn’t show positive pressure because they weren’t fully engaged. I finger tightened it as far as it’ll go. Did you experience the same thing?
AQ4EYHNCDzg,UgyRrSVIHJ_RdOfDEEl4AaABAg,heat_pump_heating_retrofit,diy_renovator_homeowner,how_to_installation_demo,Hi! Great video! I have one question/concern. I bought the valve that you’re recommending here to run vacuum on the lines and it doesn’t seem to engage the Senville valve enough to open it up. When I released a little Freon the manifold didn’t show positive pressure because they weren’t fully engaged. I finger tightened it as far as it’ll go. Did you experience the same thing?
HkHozg0ckWY,Ugx7xYqt-RVs1j46S-x4AaABAg,general_energy_retrofit,diy_renovator_homeowner,practical_advice_explainer,"Great tips. Another use of the camera would be to search for thermal bridges, mostly in older buildings. This is where a structural element is bare inside and outside and conducts heat from higher temps to lower, or better put, the heat leaks outs."
HkHozg0ckWY,UgxM2ElN7hkqLHGpFit4AaABAg,general_energy_retrofit,diy_renovator_homeowner,practical_advice_explainer,"Great tips. Another use of the camera would be to search for thermal bridges, mostly in older buildings. This is where a structural element is bare inside and outside and conducts heat from higher temps to lower, or better put, the heat leaks outs."
