candidate_topic_count,topic_number,topic_npmi_top_10,dominant_comment_count,dominant_comment_share,median_relative_dominant_loading,mean_relative_dominant_loading,unique_videos,largest_single_video_share,channel_column_used,largest_single_channel_share,top_10_terms,top_20_terms,generic_social_terms_in_top_10,retrofit_topic_distribution,creator_type_distribution,video_type_distribution,primary_theme_distribution,leading_channels,provisional_topic_label,coherence_rating_1_to_5,distinctiveness_rating_1_to_5,research_relevance_rating_1_to_5,possible_overlap_with_topic,retain_merge_or_reject,reviewer_notes
12,1,0.1228751646781502,7260,0.17105294159225315,0.4854120389769162,0.5281411367376383,777,0.016391184573002756,,,not | would | house | like | just | good | when | never | years | more,not | would | house | like | just | good | when | never | years | more | no | time | could | old | new | think | work | really | way | people,good,"heat_pump_heating_retrofit (1,721; 23.7%) | airtightness_draught_proofing (1,017; 14.0%) | smart_heating_controls (855; 11.8%)","diy_renovator_homeowner (2,227; 30.7%) | training_educational (1,857; 25.6%) | installer_tradesperson (1,856; 25.6%)","how_to_installation_demo (3,666; 50.5%) | practical_advice_explainer (1,681; 23.2%) | problem_warning_mistakes (1,379; 19.0%)","theme_practical_advice (1,937; 26.7%) | theme_question_request (1,734; 23.9%) | theme_personal_experience (756; 10.4%)",,,,,,,,
12,2,0.3471855908937648,1846,0.04349362674645996,0.5786160533521605,0.6035239436772847,233,0.11213434452871072,,,foam | spray | spray foam | cell | use | foam insulation | closed | closed cell | expanding | foam board,foam | spray | spray foam | cell | use | foam insulation | closed | closed cell | expanding | foam board | board | expanding foam | cell spray | use spray | foam not | attic | seal | cell foam | wool | mortgage,,loft_roof_insulation (502; 27.2%) | airtightness_draught_proofing (413; 22.4%) | damp_condensation_moisture (322; 17.4%),builder_contractor (873; 47.3%) | diy_renovator_homeowner (419; 22.7%) | installer_tradesperson (303; 16.4%),how_to_installation_demo (834; 45.2%) | problem_warning_mistakes (679; 36.8%) | practical_advice_explainer (182; 9.9%),theme_product_material_tool (636; 34.5%) | theme_question_request (373; 20.2%) | theme_practical_advice (260; 14.1%),,,,,,,,
12,3,-0.1646745234926762,3265,0.0769267016940367,0.5612400307519505,0.5913343958280757,693,0.014701378254211332,,,what | what would | what happens | happens | what brand | what did | using | know what | what kind | brand,what | what would | what happens | happens | what brand | what did | using | know what | what kind | brand | kind | what cost | did | what size | use | size | cost | did use | called | know,,heat_pump_heating_retrofit (702; 21.5%) | smart_heating_controls (434; 13.3%) | solar_renewable_integration (354; 10.8%),"installer_tradesperson (1,023; 31.3%) | diy_renovator_homeowner (933; 28.6%) | training_educational (764; 23.4%)","how_to_installation_demo (1,807; 55.3%) | practical_advice_explainer (712; 21.8%) | problem_warning_mistakes (513; 15.7%)","theme_question_request (2,416; 74.0%) | theme_practical_advice (213; 6.5%) | theme_energy_performance (142; 4.3%)",,,,,,,,
12,4,0.1020004855753277,2895,0.06820912753575384,0.5344877562618026,0.5665520563506773,668,0.012435233160621761,,,how | how did | did | cost | how does | how long | know | how would | long | know how,how | how did | did | cost | how does | how long | know | how would | long | know how | how cost | how know | video how | did cost | how fix | fix | would | how install | not how | insulate,,heat_pump_heating_retrofit (688; 23.8%) | smart_heating_controls (438; 15.1%) | solar_renewable_integration (339; 11.7%),installer_tradesperson (939; 32.4%) | diy_renovator_homeowner (920; 31.8%) | training_educational (611; 21.1%),"how_to_installation_demo (1,693; 58.5%) | practical_advice_explainer (543; 18.8%) | problem_warning_mistakes (429; 14.8%)","theme_question_request (2,054; 70.9%) | theme_practical_advice (243; 8.4%) | theme_energy_performance (164; 5.7%)",,,,,,,,
12,5,0.3620621807639865,3307,0.07791626416605801,0.4846068487759383,0.5161188642618826,391,0.054429996976111276,,,heat | pump | heat pump | water | heating | gas | boiler | pumps | heat pumps | hot,heat | pump | heat pump | water | heating | gas | boiler | pumps | heat pumps | hot | hot water | temperature | electric | radiators | furnace | air | heater | run | cold | loss,,"heat_pump_heating_retrofit (2,487; 75.2%) | smart_heating_controls (300; 9.1%) | general_energy_retrofit (73; 2.2%)","installer_tradesperson (1,205; 36.4%) | training_educational (1,198; 36.2%) | diy_renovator_homeowner (614; 18.6%)","practical_advice_explainer (1,555; 47.0%) | how_to_installation_demo (1,329; 40.2%) | problem_warning_mistakes (226; 6.8%)","theme_question_request (1,181; 35.7%) | theme_practical_advice (604; 18.3%) | theme_energy_performance (485; 14.7%)",,,,,,,,
12,6,0.2062807007457136,4161,0.09803736776382442,0.5257901349542634,0.5550433941785723,622,0.020187454938716654,,,video | great | great video | thanks | thank | video thanks | hi | thanks video | question | videos,video | great | great video | thanks | thank | video thanks | hi | thanks video | question | videos | informative | thanks great | video what | helpful | excellent | sharing | nice | job | video how | video thank,great | thank | thanks | video | videos,smart_heating_controls (922; 22.2%) | heat_pump_heating_retrofit (881; 21.2%) | airtightness_draught_proofing (467; 11.2%),"diy_renovator_homeowner (1,378; 33.1%) | installer_tradesperson (1,146; 27.5%) | training_educational (1,044; 25.1%)","how_to_installation_demo (2,301; 55.3%) | practical_advice_explainer (809; 19.4%) | problem_warning_mistakes (729; 17.5%)","theme_question_request (1,793; 43.1%) | theme_practical_advice (683; 16.4%) | theme_personal_experience (418; 10.0%)",,,,,,,,
12,7,0.2031616090279976,2256,0.05315364135428693,0.5346145192638393,0.5676330584431364,577,0.018173758865248225,,,why | not | why not | use | did | why would | why did | did not | not just | not use,why | not | why not | use | did | why would | why did | did not | not just | not use | just | instead | would not | just use | would | why use | understand | know why | why does | illegal,,heat_pump_heating_retrofit (456; 20.2%) | smart_heating_controls (282; 12.5%) | solar_renewable_integration (272; 12.1%),installer_tradesperson (741; 32.8%) | diy_renovator_homeowner (594; 26.3%) | training_educational (495; 21.9%),"how_to_installation_demo (1,309; 58.0%) | practical_advice_explainer (482; 21.4%) | problem_warning_mistakes (340; 15.1%)","theme_question_request (1,478; 65.5%) | theme_practical_advice (348; 15.4%) | theme_energy_performance (98; 4.3%)",,,,,,,,
12,8,0.3441331814724632,3634,0.08562071484108098,0.5527288209179424,0.5773340137658546,446,0.03467253714914695,,,solar | panels | battery | solar panels | power | panel | inverter | batteries | grid | cost,solar | panels | battery | solar panels | power | panel | inverter | batteries | grid | cost | charge | energy | use | solar panel | electric | kwh | need | electricity | more | day,,"solar_renewable_integration (2,344; 64.5%) | heat_pump_heating_retrofit (527; 14.5%) | smart_heating_controls (352; 9.7%)","training_educational (1,327; 36.5%) | installer_tradesperson (1,215; 33.4%) | diy_renovator_homeowner (955; 26.3%)","how_to_installation_demo (1,761; 48.5%) | practical_advice_explainer (1,112; 30.6%) | project_walkthrough (434; 11.9%)","theme_question_request (1,360; 37.4%) | theme_cost_finance (823; 22.6%) | theme_practical_advice (578; 15.9%)",,,,,,,,
12,9,0.1506083900505221,3627,0.08545578776241076,0.5037419345056864,0.5359746067506652,642,0.034463744141163495,,,does | does not | wire | thermostat | not | work | wires | how does | boiler | need,does | does not | wire | thermostat | not | work | wires | how does | boiler | need | nest | not work | does work | connected | blue | red | connect | smart | hive | white,,"smart_heating_controls (1,732; 47.8%) | heat_pump_heating_retrofit (622; 17.1%) | solar_renewable_integration (233; 6.4%)","installer_tradesperson (1,473; 40.6%) | diy_renovator_homeowner (991; 27.3%) | training_educational (822; 22.7%)","how_to_installation_demo (2,316; 63.9%) | practical_advice_explainer (752; 20.7%) | problem_warning_mistakes (431; 11.9%)","theme_question_request (2,095; 57.8%) | theme_practical_advice (539; 14.9%) | theme_personal_experience (229; 6.3%)",,,,,,,,
12,10,0.0048917193574298,1546,0.03642532337487925,0.46483909310345617,0.5248369828461158,519,0.016170763260025874,,,where | did | where did | buy | where buy | did not | where does | how did | link | know where,where | did | where did | buy | where buy | did not | where does | how did | link | know where | live | located | where live | video where | wire | where would | what did | did use | based | hi,,heat_pump_heating_retrofit (315; 20.4%) | smart_heating_controls (193; 12.5%) | airtightness_draught_proofing (188; 12.2%),diy_renovator_homeowner (504; 32.6%) | installer_tradesperson (438; 28.3%) | training_educational (332; 21.5%),how_to_installation_demo (901; 58.3%) | practical_advice_explainer (306; 19.8%) | problem_warning_mistakes (245; 15.8%),theme_question_request (879; 56.9%) | theme_practical_advice (155; 10.0%) | theme_personal_experience (125; 8.1%),,,,,,,,
