topic_number,representative_rank,topic_weight,relative_topic_loading,video_id,comment_id,comment_text,retrofit_topic,creator_type,video_type,primary_theme
1,1,0.11999952616086276,0.9696669724205289,yO8U_3mgbK8,UgzJi4f7u0HywpbrYKR4AaABAg,Is that all? Not much on video.,solar_renewable_integration,installer_tradesperson,how_to_installation_demo,theme_question_request
1,2,0.11999952616086276,0.9696669724205289,kwVleBvWH64,Ugwf2E-xTzn2NPKSE9B4AaABAg,Fire or not,ventilation_mvhr,builder_contractor,how_to_installation_demo,theme_safety_risk_warning
1,3,0.11999952616086276,0.9696669724205289,FXXgjvOJcYI,UgxKnQ6BWW4LleMUhh14AaABAg,I don't undertand.,airtightness_draught_proofing,training_educational,practical_advice_explainer,theme_practical_advice
1,4,0.11999952616086276,0.9696669724205289,H51FYrDR5xs,UgzvA4lqcqrhpH69mkF4AaABAg,Don't give up,damp_condensation_moisture,diy_renovator_homeowner,project_walkthrough,theme_practical_advice
1,5,0.11999952616086276,0.9696669724205289,pvUA6iFJKy8,Ugx0m3fprRWNNSLzA8J4AaABAg,Don't do it,damp_condensation_moisture,diy_renovator_homeowner,how_to_installation_demo,theme_practical_advice
1,6,0.11999952616086276,0.9696669724205289,bKTsLHSS7i4,UgycH5xlYvdPoVmODsx4AaABAg,Don't do it.,heat_pump_heating_retrofit,diy_renovator_homeowner,problem_warning_mistakes,theme_practical_advice
1,7,0.11999952616086276,0.9696669724205289,I7GD0MB8SzY,Ugw4Op9DpB6qYC0gKR54AaABAg,£525 ... not £325!,floor_insulation,diy_renovator_homeowner,how_to_installation_demo,theme_cost_finance
1,8,0.0547678407233953,1.0,5ScJj0YlUAM,UgzlFo2SAxme1Jnuqtt4AaABAg,So is it 10 or 15mm? I don’t like that 5mm tolerance 😂,loft_roof_insulation,installer_tradesperson,practical_advice_explainer,theme_question_request
2,1,0.2228113400712268,1.0,9OFpzKn0cq4,UgxWncWZz4ymf4GMPll4AaABAg,😂 spray foam bandit struck again!,loft_roof_insulation,diy_renovator_homeowner,problem_warning_mistakes,theme_product_material_tool
2,2,0.2228113400712268,1.0,C5lPpLUw-Ts,UgxB5hdL70bOwrRX3cV4AaABAg,SPRAY FOAM! 😉🤣,external_wall_insulation,diy_renovator_homeowner,how_to_installation_demo,theme_product_material_tool
2,3,0.2228113400712268,1.0,tUWJTF9nyaQ,UgxtCcp6ToRsN4-kzzF4AaABAg,SPRAY FOAM IS A RIPOFF!,loft_roof_insulation,builder_contractor,problem_warning_mistakes,theme_product_material_tool
2,4,0.20291788632515234,1.0,5ScJj0YlUAM,UgwSfM5zgyKhjzB0CVZ4AaABAg,Spray foam man. SPRAY FOAM!!,loft_roof_insulation,installer_tradesperson,practical_advice_explainer,theme_product_material_tool
2,5,0.19925355781892148,0.9807920964805202,_RQ9S1u7ag4,UgxN6dpbyQdfHRNkTvZ4AaABAg,Time for closecell spray foam,airtightness_draught_proofing,diy_renovator_homeowner,how_to_installation_demo,theme_product_material_tool
2,6,0.19454372435637232,0.9970391734814763,tUWJTF9nyaQ,UgwbOF_qfUV7Yoap6UJ4AaABAg,"Spray foam, got it.",loft_roof_insulation,builder_contractor,problem_warning_mistakes,theme_product_material_tool
2,7,0.18638273586958237,0.9921696141834074,Genu_Plnp2M,UgwHMTSiKmcIANPqAz54AaABAg,i thought spray foam was hazardeous?,airtightness_draught_proofing,installer_tradesperson,how_to_installation_demo,theme_product_material_tool
2,8,0.1695062700690718,1.0,AADAMH0TRQU,Ugz53GrW4sOGctMr6Cp4AaABAg,I hate spray foam.,loft_roof_insulation,training_educational,how_to_installation_demo,theme_product_material_tool
3,1,0.2747753750413693,1.0,ibHeGgsRMkE,UgzrSwXH_bWzQ79MRZp4AaABAg,Soooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo what do I do? 🤣,damp_condensation_moisture,diy_renovator_homeowner,problem_warning_mistakes,theme_question_request
3,2,0.2747753750413693,1.0,MzSCf_LkyNw,UgygAw6h-iNJ4w8Zo8l4AaABAg,And then what? 🧐🤨,loft_roof_insulation,installer_tradesperson,how_to_installation_demo,theme_question_request
3,3,0.2747753750413693,1.0,MzSCf_LkyNw,Ugzd6fNkwW1vg3wwyB14AaABAg,Now what ?,loft_roof_insulation,installer_tradesperson,how_to_installation_demo,theme_question_request
3,4,0.2747753750413693,1.0,BqflmLgXTzQ,UgwALwxd64ZjszZoE4V4AaABAg,What is this for?,ventilation_mvhr,diy_renovator_homeowner,how_to_installation_demo,theme_question_request
3,5,0.2747753750413693,1.0,OWALq8C5Wkg,UgyXKweO6Gil5bqGWB94AaABAg,what is this?,smart_heating_controls,installer_tradesperson,how_to_installation_demo,theme_question_request
3,6,0.2747753750413693,1.0,5O6rHbUJRrM,UgwkmIjyJAo7KEnBIrJ4AaABAg,What is this about?,smart_heating_controls,diy_renovator_homeowner,how_to_installation_demo,theme_question_request
3,7,0.2747753750413693,1.0,KIbJ6CBhWoI,UgwRhpYRfKBJ0dQm5sB4AaABAg,What about the molds?,windows_doors_glazing,diy_renovator_homeowner,how_to_installation_demo,theme_question_request
3,8,0.2747753750413693,1.0,J0e6fuIiuic,Ugy8Aj5z8hnwfwd3Lp14AaABAg,What is this?,heat_pump_heating_retrofit,installer_tradesperson,how_to_installation_demo,theme_question_request
4,1,0.2731250589541915,1.0,bOkQEFi55oU,Ugz6VBVdlq6dnjLnRrx4AaABAg,How much was all of this? Thank you,solar_renewable_integration,installer_tradesperson,project_walkthrough,theme_question_request
4,2,0.2731250589541915,1.0,RlQjU6gQcFU,UgzOc6u9y_EY2bD40Zl4AaABAg,"So, that's how it done...? 😱",external_wall_insulation,installer_tradesperson,how_to_installation_demo,theme_question_request
4,3,0.2731250589541915,1.0,MzSCf_LkyNw,Ugyb_WwCUCve7N2GIQl4AaABAg,How is he a gangster in paradise?,loft_roof_insulation,installer_tradesperson,how_to_installation_demo,theme_question_request
4,4,0.2731250589541915,1.0,OZvrTuhJhXs,UgxwMe8fM_kjc4FPaEh4AaABAg,How can I all the videos you have?,solar_renewable_integration,training_educational,how_to_installation_demo,theme_question_request
4,5,0.2731250589541915,1.0,hqFU3zjv-fs,Ugz1XqgYbjDVvLOiiLB4AaABAg,How much is it?,loft_roof_insulation,installer_tradesperson,problem_warning_mistakes,theme_question_request
4,6,0.2731250589541915,1.0,EY77sPyVM2c,UgzMcMysyImMD4RYOq94AaABAg,How much is the PF?,heat_pump_heating_retrofit,installer_tradesperson,how_to_installation_demo,theme_question_request
4,7,0.2731250589541915,1.0,P6rA-E-HmQ0,UgwCHor35FidVlGrelR4AaABAg,how much all???,solar_renewable_integration,installer_tradesperson,how_to_installation_demo,theme_question_request
4,8,0.2731250589541915,1.0,ukgh7mrTd-Y,UgzWJu9O8P_JiNCc10B4AaABAg,How much is this?,solar_renewable_integration,installer_tradesperson,how_to_installation_demo,theme_question_request
5,1,0.10620431846786284,1.0,YhGoeR4Q4tM,UgwZttjW9va6kBQ2_0d4AaABAg,can you do our house please?,loft_roof_insulation,diy_renovator_homeowner,how_to_installation_demo,theme_question_request
5,2,0.10620431846786284,1.0,OKuaURXqQ0E,UgwReZewjkvadJIbke14AaABAg,Is that my house?,airtightness_draught_proofing,builder_contractor,how_to_installation_demo,theme_question_request
5,3,0.10620431846786284,1.0,tUWJTF9nyaQ,UgyLq3BaZmEloyk-HLp4AaABAg,I have in my house is awesome,loft_roof_insulation,builder_contractor,problem_warning_mistakes,theme_personal_experience
5,4,0.10620431846786284,1.0,tUWJTF9nyaQ,Ugx2GeQyv1bg8RBflNB4AaABAg,I have it at my house and it’s divine,loft_roof_insulation,builder_contractor,problem_warning_mistakes,theme_personal_experience
5,5,0.10620431846786284,1.0,jYNufQVIFfA,Ugy-_4queRzKwpWlR5V4AaABAg,I do everything myself on my house 🏘️,damp_condensation_moisture,builder_contractor,problem_warning_mistakes,theme_personal_experience
