topic_number,representative_rank,tfidf_row_index,topic_weight,relative_topic_loading,video_id,comment_id,comment_text,retrofit_topic,creator_type,video_type,primary_theme
1,1,3784,0.05607616860265182,1.0,jYNufQVIFfA,Ugy-_4queRzKwpWlR5V4AaABAg,I do everything myself on my house 🏘️,damp_condensation_moisture,builder_contractor,problem_warning_mistakes,theme_personal_experience
1,2,32195,0.05607616860265182,1.0,OKuaURXqQ0E,UgwReZewjkvadJIbke14AaABAg,Is that my house?,airtightness_draught_proofing,builder_contractor,how_to_installation_demo,theme_question_request
1,3,39049,0.05607616860265182,1.0,YhGoeR4Q4tM,UgwZttjW9va6kBQ2_0d4AaABAg,can you do our house please?,loft_roof_insulation,diy_renovator_homeowner,how_to_installation_demo,theme_question_request
1,4,34559,0.05607616860265182,1.0,tUWJTF9nyaQ,Ugx2GeQyv1bg8RBflNB4AaABAg,I have it at my house and it’s divine,loft_roof_insulation,builder_contractor,problem_warning_mistakes,theme_personal_experience
1,5,18199,0.04343809458713438,0.8061466740603894,H51FYrDR5xs,UgwjsQiU8cpAdrYMjXJ4AaABAg,"Them old house , were not house as we called them now , they were more like shelter. They had an open fire continously burning. Not shower to create steam . They had no money to use good materials to build the house in the first place. As we have experience the same problem, I came to the conclusion is to build a new house in the old one and often it's the best. Keep the old walls for the look outside and build new ones inside. It will reduce the space but in the short term it will not upset you and you will have a good home to live in . I know this because I moved in the West of Ireland into an old rectory. Dampness of tge North West of Europe is nothing to the one of Normandie. Oh , by the way , I'm French too 😂😂",damp_condensation_moisture,diy_renovator_homeowner,project_walkthrough,theme_safety_risk_warning
1,6,8604,0.04191635324861495,0.36267822141306444,kGs_biFA87Q,Ugz2BBX4yZ8elryMKxR4AaABAg,"Assuming a modern gas boiler and (and assuming you used the free cavity/roof insulation offers when they were available years ago), Set your heating to the outside temp, and then turn it up by 1C at a time (waiting at least half an hour between each) until you are not uncomfortable but not cold. this is the temp you need to set at night or times of non occupancy. Then turn it up 0.5C at a time (with 1 hour waits) until you are just comfortable. That's the temperature you need to set during occupancy time. You save by setting semi-constant and low heat settings because: (1) your boiler will work at its most efficient when set at low temps for long times rather than at high temps for short bursts, and (2) your house maintains the heat better when the differential between inside and outside is as low as possible. Many people turn up the heat for psychological comfort rather than physical comfort, but its less psychologically comfortable today when you will be worrying about the bills! Also, if you have a non uniform house with cold rooms, the problem is often poor settings on the radiators; radiator-thermostat valves are the answer, and NOT heating the house with the coldest room in mind. Also, make sure they are not all just set fully-on (that is often the problem if you have them badly set up). Finally, non-bill payers are more likely to mess with the thermostat (I think we all know who we're talking about here!), and there may be some training involved here! The temps you will use are often unexpectedly low. For us, they are 14C and 16.5C. Big thing to remember; *you should not change the values if it gets colder*; the heating will maintain the set temps, so you don't need to change them higher! Our energy bills have actually gone *down* so far this Autumn since using this system. Also, if you need to air the home or leave doors open, do it for 30 minutes max and do one room at a time; you lose the freshening effect soon after 30 minutes per room, and are just throwing heat away! Consider using air purifiers instead during the coldest weather period. I recommend Levoit (they're pretty cheap and the filters last forever if you clean them with a vacuum cleaner hose once a month - plus you can leave them constantly on on 'sleep' so the air never gets dusty)",heat_pump_heating_retrofit,training_educational,practical_advice_explainer,theme_practical_advice
1,7,16435,0.04139347215987166,0.5283887402774851,KxHcu7JvZwk,UgxU1Q4iStVi5wNm0014AaABAg,"I have a solid brick old terraced house. After 3 years of being here I have only just attempted this. Last year I had the same boiler, same thermostat but it was on a timer, now my issue is that when my heating is not on for a few hours it could drop to 17 degrees, so last year when it was on a timer it was having to go from 16/17 to 19/20 each time. This year I have kept my heating at 19 when I am in the house and 18 when I am not in the house. I’ve just got my bill and it says that my usage is down 85%. In certain houses this does in fact work and I wish I knew this 3 years ago!! I move out in a few months.",heat_pump_heating_retrofit,training_educational,practical_advice_explainer,theme_personal_experience
1,8,41554,0.04091695661105199,0.4509575295554533,DSCWGAE1BVQ,UgyEr3kEMzMtSXpYN3B4AaABAg,"I will say as a pretty competent DIYer mainly focused on carpentry you have to understand the tissue backed pir might look good on a spec sheet and I've never used it but my assumption is people don't want to use it for a few reasons 1. It's going to be a nightmare to put in without ripping or breaking and that suvirely decreases the insulations thermal performance 2 then imagine you get it in and any moisture not just water gets to it even the slightest condensation it's going to be ruined and make a big mess. 3 at the end of the day the tradesperson has to 'back' the work they do and might not be comfortable using a new or cheap product that's is inferior because if something goes wrong they have to take the time and spend they're money to fix it when we have had insulations that work fine for over a hundred years. Just my two cents as someone who does alot of this stuff for themself. I certainly see the value in not doing a job twice because I cheaped out or tried to use a 'new' way to do something. I as you might have guessed live in a 100 year old house and it is true what they say they don't build things like they used to. But with that also is important to see the downsides such as asbestos in artex among other things that are not used anymore because of health and safety, So there is also that nothing is perfect.",general_energy_retrofit,training_educational,practical_advice_explainer,theme_practical_advice
1,9,26267,0.039923565640652484,1.0,pvUA6iFJKy8,UgwKVY3oHN3ub320Svl4AaABAg,Depending on your climate it may not be of any value to insulate an old house. Good way to rot out a house that has stood for 150 years or more already. Same with windows. Refurbish the old windows. New windows just have to be replaced in 15 years. No energy saving overall.,damp_condensation_moisture,diy_renovator_homeowner,how_to_installation_demo,theme_energy_performance
1,10,39947,0.03939671152066824,0.38454480982439065,3zUMOblSJ60,Ugx0GRLpETAtzlLPjPN4AaABAg,My last home had damp problems. Funny how this new house with older windows doesn't have mold on the walls. We only have mold on the black window sill between the glass and the frame. Our bathroom extractor fan is shit and we still get no mold. Make sure you close your bathroom door because the moisture will travel around the house otherwise. I always have my window open in the day because I get hot easily and I like having new air in my bedroom. I live my parents by the way. Mold is a strange issue for sure because some people do everything wrong yet they never get mold because they have old windows or just lucky.,airtightness_draught_proofing,training_educational,how_to_installation_demo,theme_practical_advice
1,11,16354,0.03906133720059292,0.38098199197211186,KxHcu7JvZwk,UgwZwamlDC5X-IigZLZ4AaABAg,"I tested this theory- At one point in the past, I lived in a draughty 120 year old 2 up 2 down terraced house with part double glazing, slate roof, draughty loft with a couple of layers of loft insulation/ boards etc I had gas central heating, which just about coped in winter, I tried 2 experiments over a week. 1. Heating timed to come on for an hour in the morning, then off all day, had good day time heat if the sun was heating through the windows. Mostly it wasn't! Then the heating came on for a couple of hours in the evening. Then off the rest of the night. 2. Manually put the heating on first thing in the morning and have it on all day and evening, turn it off before bedtime. What I found was the heating used the most gas getting the house up to temperature from cold. Leaving it on all day used slightly more gas but the benefit was a cosy warm house all day. So in the week when we were at work the house was empty so we had the heating on in the morning, off all day then back on in the evening. At weekends we left it running all day. That seemed to be a good compromise that worked for us. Turning it off during the day at weekends didn't actually save that much money. Because the heating is just ticking over cutting in every so often, it's easier for the boiler to maintain a steady temp rather than having to heat up a house from cold. I had a lot of thermal loses in that house to be fair, in the end I cut my loses and got a more modern, thermally efficient house.",heat_pump_heating_retrofit,training_educational,practical_advice_explainer,theme_personal_experience
1,12,39741,0.03845634422230025,0.3592574719788122,uLPNrGdu0W0,Ugynjo7viGQ2i_129Gx4AaABAg,"When my boiler blew up two years ago a ""smart boiler"" was at the forefront of my mind when getting a new one. The boiler i chose came with tado. I'd moved out of my parents house who have always had nest. I can safely say i will NEVER switch to nest! tado does so many neat things. Like for example it somehow KNOWS there is a window open; it uses geomapping to tell when you're close to your house or leaving, The one gripe many people had is that its not possible to set it over 25 but people fail to realise that you shouldn't even need to be putting it higher than that. If you're having to wack your heat up that high your thermostats aren't in the right places and the ONE place you do have one is too cold for it to get an average temp of the home...rather that the temp of that ONE room",smart_heating_controls,diy_renovator_homeowner,how_to_installation_demo,theme_practical_advice
1,13,9837,0.03842273334725353,0.5958332493908429,BXPR0NUn5fA,UgzkFEyRMVIm1BuaRhF4AaABAg,Well you got to understand that pink fiberglass ain’t nothing like the stuff we worked with even 1520 years ago they’ve made it a lot more friendly for people because all the damage asbestos is done fiberglass is almost as bad because it’s just a small of particulate as asbestos it’s just about half as toxic is the difference but they’re both not good for people most important thing when you’re messing with fiberglass it’s not really touching it it’s a breathing it in because there’s no way to get it back out of your body want you breathing into your lungs!!!! i’ve been doing construction since I was 12 I’m 49 I inherited my grandfathers business at 33 so I know what I’m talking about a Biltmore houses that I can count!!!!,external_wall_insulation,builder_contractor,problem_warning_mistakes,theme_safety_risk_warning
1,14,10632,0.03833354049952702,0.5266877713138859,R9BfhFEv8fg,UgxdtU2FYYpcN_PzY1R4AaABAg,my house... NOT DONE!,ventilation_mvhr,installer_tradesperson,practical_advice_explainer,theme_personal_experience
