feature,ngram_size,document_frequency,document_frequency_percent,idf,mean_tfidf_all_comments,mean_tfidf_when_present
not,1,14717,34.63883070115565,2.0601504486156905,0.027683662415562624,0.07992089182917776
would,1,7407,17.433567914891615,2.7466611857762198,0.01668139694101541,0.09568550180004343
what,1,7197,16.939299079718502,2.775418473463259,0.02090016425047627,0.12338269813950052
just,1,6264,14.743333254877962,2.9142430947720666,0.014207011911818225,0.09636227891082709
house,1,5947,13.99722267987855,2.9661666545221896,0.014182252333318528,0.1013219026207675
how,1,5638,13.269941393838115,3.019514938295053,0.017276811381904164,0.13019508428218557
insulation,1,5581,13.135782710005413,3.0296745480059677,0.015314172606564043,0.11658363224065338
video,1,5295,12.462635629722033,3.082269864485391,0.013658477532565178,0.10959541736092478
heat,1,4905,11.544707792971968,3.1587627372838005,0.01287524996813099,0.11152512648236114
like,1,4877,11.478805281615553,3.1644863833263694,0.011868624334489753,0.10339598976819071
when,1,4569,10.75387765669499,3.2297084782139844,0.01062154968878017,0.098769486020399
use,1,4431,10.42907242215266,3.2603707336751153,0.011925817792311165,0.11435166340372929
air,1,4343,10.221950243603926,3.2804261004884636,0.011562050334950266,0.1131100236198554
no,1,4324,10.177230682326359,3.2848095427362556,0.010668189719699921,0.10482409265052972
need,1,3887,9.148680772942312,3.3913267965219056,0.010448062384282197,0.11420293967609922
great,1,3675,8.649704615529457,3.4473964786266573,0.01028101032754016,0.11885966960168676
more,1,3631,8.54614352625509,3.4594382223810514,0.008639043126736029,0.10108703534167823
did,1,3520,8.284887141949302,3.4904766429471827,0.010850971812314626,0.13097307937210556
does,1,3515,8.273118836349942,3.4918977032971674,0.010452319757131966,0.1263407423958082
thanks,1,3303,7.774142678937086,3.5540878274613665,0.00991759247002232,0.1275715262712196
work,1,3303,7.774142678937086,3.5540878274613665,0.009358133917147899,0.12037512435297087
good,1,3150,7.414032527596676,3.6015018203449607,0.008579951455553961,0.11572584047368926
wall,1,2906,6.839739214347918,3.682100061543359,0.008924818357553073,0.13048477548429366
where,1,2893,6.809141619789583,3.6865820549108057,0.009336668318932094,0.13711960831886202
roof,1,2876,6.769129380751759,3.6924735985506874,0.009404997670375134,0.13893954659987076
heating,1,2810,6.6137877468402095,3.715681391195703,0.007721268592557106,0.11674503156297998
should,1,2721,6.404311907171605,3.7478547788908236,0.007927405445896672,0.12378231355377138
could,1,2707,6.371360651493398,3.753011328070069,0.007371483616031457,0.11569716453429202
foam,1,2644,6.223080000941464,3.776550617809835,0.010288657185911732,0.1653306270264114
why,1,2636,6.204250711982489,3.779579775748948,0.00989870490001375,0.15954714532886352
water,1,2619,6.164238472944666,3.7860473653470925,0.007630662020025269,0.12378920856999373
cold,1,2611,6.14540918398569,3.7891054717059136,0.00738781538469734,0.12021681817297429
over,1,2580,6.072445689269659,3.801044762383621,0.006806232046949616,0.11208386859641409
new,1,2552,6.006543177913244,3.8119525448607514,0.00685519796496921,0.11412883853356066
years,1,2524,5.940640666556829,3.8229806203927748,0.006755147437614152,0.11371075641121729
way,1,2474,5.822957610563231,3.842981287099444,0.006868142426162638,0.1179493804609426
time,1,2469,5.811189304963872,3.845003532480212,0.006419834519296245,0.1104736772868933
home,1,2427,5.712335537929249,3.8621538099228463,0.006797679227541133,0.11899999890421925
old,1,2380,5.6017134652952665,3.8817011156153725,0.006554649021672144,0.11701150125369092
know,1,2290,5.38988396450679,3.92023327964874,0.006793148753392417,0.1260351576792068
used,1,2217,5.218066702756137,3.9526157941919227,0.006710916852100589,0.12860925768840673
make,1,2170,5.107444630122155,3.9740337922239433,0.006152942772677808,0.12047008275703319
never,1,2147,5.0533104243651,3.9846845064734797,0.007666842590332971,0.1517192087263516
think,1,2112,4.970932285169582,4.001112944486179,0.005795738087481514,0.11659257770967192
using,1,2075,4.883846823734319,4.018778717816456,0.006126794765263399,0.12545018274301012
really,1,2056,4.839127262456752,4.027973072449278,0.005670754306940219,0.11718547579716394
walls,1,2055,4.83677360133688,4.028459335527179,0.006122552227389632,0.12658339488326195
pump,1,2050,4.82500529573752,4.030894204029854,0.006339104565111282,0.13138026129652833
floor,1,2041,4.803822345658672,4.035291963377624,0.006822664775041079,0.14202575124800113
cost,1,2029,4.7755784122202085,4.0411858900664015,0.007105092727662977,0.14877973125688365
room,1,2024,4.7638101066208485,4.043651982561595,0.00600641182400096,0.1260841991928502
going,1,1998,4.702614917504178,4.056574627601835,0.005838326164975297,0.1241506325181709
install,1,1959,4.6108221338291715,4.076277209877672,0.006139074329739645,0.13314489588956013
want,1,1950,4.589639183750323,4.080879621479124,0.005687634008876649,0.1239233364795601
installed,1,1901,4.474309788876598,4.1063157189969,0.005299493390161401,0.11844270156117172
thank,1,1857,4.370748699602231,4.129721042728452,0.006688846883480161,0.1530366384159513
outside,1,1855,4.366041377362487,4.130798048756089,0.005450733895701041,0.12484384421921842
solar,1,1853,4.361334055122743,4.131876215976435,0.006514042181945463,0.1493589369586168
between,1,1834,4.316614493845176,4.142177201613564,0.005143005943876144,0.11914443486230411
boiler,1,1786,4.203638760091322,4.168683446942807,0.0060766265914455435,0.1445563460194551
through,1,1734,4.08124838185798,4.198214269721276,0.0048663431777312026,0.1192366335595534
better,1,1731,4.074187398498364,4.199944872979854,0.005290120559484564,0.1298448019704337
problem,1,1685,3.965918986984254,4.226862823540435,0.005751881587858682,0.1450327555034729
heat pump,2,1651,3.885894508908607,4.2472350080213115,0.005242360148504908,0.13490742315537735
got,1,1631,3.838821286511168,4.259415426578183,0.005174780456359548,0.13480128586716622
moisture,1,1620,3.8129310141925767,4.266178440366559,0.005159942054881746,0.13532744326281526
after,1,1591,3.74467484171629,4.284230595697906,0.00470883933967251,0.12574761598030543
before,1,1581,3.72113823051757,4.290531813774636,0.004751003155728522,0.12767607278775314
hi,1,1560,3.671711347000259,4.303895041586803,0.005315826302802684,0.14477789238921643
temperature,1,1531,3.603455174523972,4.322647611801699,0.005010956127844674,0.13905976028983452
energy,1,1526,3.5916868689246124,4.325916656883603,0.004909266919389589,0.13668415701448586
warm,1,1523,3.5846258855649964,4.3278832258556434,0.004803492296262868,0.13400261141912045
hot,1,1523,3.5846258855649964,4.3278832258556434,0.004713346483190568,0.1314878214256846
inside,1,1521,3.5799185633252524,4.329196423680604,0.0047036415411546685,0.13138962403618565
people,1,1512,3.5587356132464047,4.33512724831388,0.0046386181582570764,0.1303445566731934
year,1,1497,3.5234306964483255,4.345090798025071,0.0043972923361684105,0.12480144254294405
most,1,1496,3.5210770353284535,4.345758577682607,0.004118893498922643,0.11697822733203633
does not,2,1492,3.5116623908489655,4.348434164563045,0.004437199181651202,0.126356086883924
doing,1,1490,3.5069550686092215,4.3497746473374965,0.004779261839941188,0.13627952872052435
thermostat,1,1478,3.4787111351707583,4.357855499391436,0.005775795184717768,0.16603261841211356
lot,1,1439,3.3869183514957517,4.384578569532189,0.004107434735118569,0.12127350909727773
barrier,1,1423,3.3492597735778005,4.395751870130313,0.005202919516606678,0.15534535593961202
best,1,1418,3.3374914679784404,4.399269284942193,0.004379843682140752,0.13123160685692112
run,1,1418,3.3374914679784404,4.399269284942193,0.004229680242116694,0.12673231625304088
gas,1,1417,3.3351378068585684,4.399974255010163,0.004585585824517672,0.13749314391410183
winter,1,1399,3.292771906700873,4.412749446498886,0.00409118270795826,0.1242473764925108
great video,2,1391,3.2739426177418975,4.41848012120787,0.00504168477868195,0.15399429273318477
unit,1,1385,3.259820651022666,4.422799782352387,0.004825836405643758,0.1480399360047555
under,1,1385,3.259820651022666,4.422799782352387,0.004328648825281774,0.13278794414422146
power,1,1379,3.245698684303434,4.427138183950985,0.004798240354569209,0.14783382011934879
sure,1,1379,3.245698684303434,4.427138183950985,0.004088849390440587,0.125977479370304
thing,1,1327,3.123308306070092,4.4655476320658565,0.0042247237159380785,0.13526438320954118
space,1,1322,3.111540000470732,4.469319797987279,0.004136636488006225,0.13294498824956164
attic,1,1321,3.10918633935086,4.470075941690603,0.005152996695370564,0.16573457274504858
building,1,1318,3.1021253559912445,4.472347809384921,0.004158540316772511,0.13405455420236242
day,1,1315,3.0950643726316285,4.474624850216973,0.004040603382913606,0.1305498980455136
job,1,1309,3.080942405912397,4.479194545907038,0.004963116842653448,0.1610908672985615
right,1,1302,3.064466778073293,4.484552384977389,0.004218274284010108,0.13765116705432986
help,1,1280,3.01268623343611,4.5015806602055015,0.00413548184675807,0.13726891970563287
say,1,1274,2.998564266716878,4.506275504509708,0.003928862193635074,0.13102477866638415
set,1,1271,2.9915032833572623,4.508631218202168,0.004322248328678641,0.144484157939079
question,1,1260,2.9656130110386707,4.517316626137315,0.00411133876604172,0.13863369059747185
spray,1,1244,2.9279544331207195,4.530086153203428,0.005422253618727192,0.18518913946853874
videos,1,1243,2.9256007720008474,4.530889688803111,0.004128835986578802,0.14112779932564246
panels,1,1239,2.9161861275213594,4.5341103035031525,0.004761066015410103,0.1632634477778281
damp,1,1234,2.904417821922,4.5381507130401575,0.004902165212616283,0.16878305785123826
did not,2,1230,2.895003177442512,4.541394835917782,0.003922573380678877,0.13549461400398655
live,1,1230,2.895003177442512,4.541394835917782,0.003806041669867012,0.13146934343710548
windows,1,1214,2.8573445995245605,4.554477606327586,0.004325666602879583,0.15138764164460036
open,1,1213,2.8549909384046885,4.555300990482792,0.003998509688468615,0.1400533232761468
without,1,1189,2.7985030715277612,4.57526837599666,0.003614677620741014,0.1291646829877405
insulated,1,1180,2.7773201214489136,4.582860145904872,0.003836910653262059,0.13815154485181788
getting,1,1132,2.66434438769506,4.624352701074229,0.003562237512146965,0.1337003402637704
having,1,1121,2.6384541153764682,4.634108876019594,0.0032172839825753362,0.12193821995332589
electric,1,1089,2.5631369595405653,4.663043986879046,0.00397881895498497,0.15523239755780202
board,1,1086,2.5560759761809493,4.665800074981026,0.004083784302902108,0.15976771977661314
vents,1,1069,2.516063737143126,4.681563034646283,0.004099626480053605,0.1629381012703812
nice,1,1064,2.5042954315437664,4.6862468839587095,0.004218928691940766,0.1684676911038415
money,1,1060,2.4948807870642784,4.690009823488252,0.0036206375674068692,0.1451226682324676
long,1,1059,2.4925271259444064,4.690952774996122,0.0034589880662407005,0.13877433991536228
condensation,1,1050,2.4713441758655588,4.699479591225284,0.0036874332947439865,0.14920759847027407
flow,1,1047,2.464283192505943,4.702338097221247,0.0035304359510723747,0.14326421418644888
built,1,1047,2.464283192505943,4.702338097221247,0.0031294472902656293,0.126992193907847
love,1,1031,2.4266246145879915,4.717723016060727,0.003866741444723391,0.15934650219395025
spray foam,2,1029,2.4219172923482475,4.719662880878554,0.004665975695865653,0.19265627734717589
wire,1,1024,2.410148986748888,4.7245290705297265,0.005037197760577648,0.20899943481802982
battery,1,1015,2.3889660366700403,4.733348333963808,0.004184167368811148,0.1751455359592899
less,1,1005,2.3654294254713206,4.743239611442551,0.002991117350797453,0.12645134615256853
ventilation,1,1001,2.3560147809918326,4.7472236804574255,0.003428703700266605,0.14552980430891832
high,1,1001,2.3560147809918326,4.7472236804574255,0.0029974874073804858,0.12722702045691778
radiators,1,991,2.3324781697931134,4.757253854817362,0.003511686784661961,0.15055604078701587
looking,1,967,2.275990302916186,4.781744874825658,0.0032207233756610604,0.1415086598363097
build,1,958,2.2548073528373385,4.791085887218797,0.0031707043351814827,0.14061974435162386
cavity,1,942,2.217148774919387,4.807910679468778,0.003627233321242432,0.1635990043732773
idea,1,937,2.205380469320027,4.813227013096011,0.0032959827325869037,0.1494518872565846
bit,1,937,2.205380469320027,4.813227013096011,0.0030174032910421722,0.13682007857685036
expensive,1,923,2.17242921364182,4.8282648904605505,0.0036083411392954525,0.16609706390600856
come,1,921,2.167721891402076,4.8304317385456415,0.003256238270167247,0.15021476154679242
point,1,920,2.165368230282204,4.831516925846929,0.0028475738046724827,0.13150529156426063
looks,1,912,2.1465389413232283,4.8402410815072665,0.0036383317855990123,0.1694975905424838
window,1,905,2.1300633134841247,4.847937656059256,0.003847275871640857,0.18061791155624873
door,1,903,2.1253559912443807,4.850147601710058,0.0041490367155933025,0.1952160829849531
insulate,1,902,2.1230023301245087,4.85125440868525,0.0035138037208049654,0.16551106284461262
add,1,901,2.1206486690046367,4.852362442039611,0.0031039168576490845,0.14636638793666665
ago,1,897,2.111234024525149,4.8568068938000355,0.002664828875903306,0.1262213873472729
wood,1,891,2.097112057805917,4.863510829522226,0.0032694616674942747,0.15590305035558838
ceiling,1,890,2.094758396686045,4.864632534631426,0.0031519114331333394,0.150466585460153
issue,1,883,2.0782827688469414,4.872519899464592,0.0029025929181969654,0.13966304112733235
low,1,880,2.0712217854873254,4.8759193361660556,0.0027134621442608457,0.13100780241273927
vent,1,876,2.061807141007838,4.880469969730052,0.003366328072542899,0.16327075435859606
small,1,876,2.061807141007838,4.880469969730052,0.002648220913965136,0.1284417374105442
look,1,875,2.059453479887966,4.881610871165844,0.0029721390750561843,0.14431688329361383
summer,1,872,2.0523924965283498,4.885041406262633,0.002710882099031134,0.13208399970359608
big,1,870,2.0476851742886057,4.8873349852497325,0.0029148294977767394,0.14234754123223026
gap,1,869,2.045331513168734,4.888483750453606,0.0032311981060578355,0.15797918749376208
issues,1,867,2.04062419092899,4.890785247441885,0.0028260611880436275,0.13849003655871925
little,1,858,2.0194412408501425,4.90120804011798,0.00270407200316237,0.13390198974167788
running,1,847,1.993550968531551,4.914096326310332,0.0026852040505594863,0.1346945271500837
control,1,844,1.9864899851719349,4.9176403347450615,0.002849162848943266,0.14342699284721866
humidity,1,838,1.9723680184527033,4.92476625563503,0.0030958494293162925,0.15696104379876052
seen,1,832,1.9582460517334714,4.931943319935392,0.0032394128076916116,0.16542419706778067
radiator,1,820,1.9300021182950078,4.946453852649807,0.003395034498498513,0.17590833016793456
dry,1,818,1.925294796055264,4.948892878249166,0.0027431037883548946,0.14247707904136236
end,1,817,1.922941134935392,4.950114625499488,0.002824823725870402,0.14690120641500093
said,1,817,1.922941134935392,4.950114625499488,0.002759011871577726,0.1434787483325861
stuff,1,809,1.9041118459764164,4.95994271443575,0.0032278192752143065,0.16951836532265788
during,1,808,1.9017581848565444,4.961178045043743,0.0024978758299523613,0.13134560691483413
place,1,806,1.8970508626168003,4.963653293832286,0.0027108159985084553,0.1428963267104575
loft,1,804,1.8923435403770565,4.966134684683672,0.0033288351520291545,0.1759107202789337
things,1,801,1.8852825570174405,4.969868354235721,0.0025703723770561532,0.13633884042944416
wrong,1,794,1.868806929178337,4.978634847447903,0.0034589609671541077,0.18508926273485715
different,1,793,1.866453268058465,4.979893500855099,0.002735588630191797,0.14656614644509317
above,1,793,1.866453268058465,4.979893500855099,0.002470494013792211,0.13236302542747752
works,1,789,1.857038623578977,4.984944016641168,0.0027845561031142963,0.14994605215845008
houses,1,789,1.857038623578977,4.984944016641168,0.0027392462302490315,0.14750615283218074
fan,1,788,1.854684962459105,4.986210641256361,0.003022392270165646,0.16295987358188807
instead,1,787,1.852331301339233,4.987478872244356,0.0028409282133913948,0.15337041550490496
turn,1,780,1.8358556735001295,4.996401812262549,0.0029530024619795234,0.16085155846426155
installation,1,778,1.8311483512603854,4.998965916231487,0.0028676685008918587,0.15660492493238098
tape,1,776,1.8264410290206416,5.001536611734588,0.004179925707847546,0.228856319006854
vapour,1,776,1.8264410290206416,5.001536611734588,0.0032214352381552745,0.17637773062307108
would not,2,770,1.8123190623014098,5.009288588538905,0.0026913696360958512,0.14850418406338237
thought,1,766,1.802904417821922,5.0144901607349786,0.0028684439107259504,0.15910127471933871
area,1,766,1.802904417821922,5.0144901607349786,0.0025835464830014634,0.14329913762830704
