feature,ngram_size,document_frequency,document_frequency_percent,idf,mean_tfidf_all_comments,mean_tfidf_when_present
video,1,5295,12.462635629722032,3.082269864485391,0.0136584775325651,0.1095954173609247
great,1,3675,8.649704615529457,3.4473964786266573,0.0102810103275401,0.1188596696016867
thanks,1,3303,7.774142678937086,3.5540878274613665,0.0099175924700223,0.1275715262712196
good,1,3150,7.414032527596676,3.6015018203449607,0.0085799514555539,0.1157258404736892
thank,1,1857,4.370748699602231,4.129721042728452,0.0066888468834801,0.1530366384159513
videos,1,1243,2.9256007720008474,4.530889688803111,0.0041288359865788,0.1411277993256424
nice,1,1064,2.5042954315437664,4.6862468839587095,0.0042189286919407,0.1684676911038415
love,1,1031,2.4266246145879915,4.717723016060727,0.0038667414447233,0.1593465021939502
excellent,1,452,1.0638548261821263,5.541084836619201,0.0019393720881469,0.182296685639605
channel,1,428,1.0073669593051993,5.5955200431742185,0.0017460721155489,0.1733302943302088
watching,1,396,0.9320498034692964,5.673040681415045,0.0015549839388385,0.1668348550743308
amazing,1,274,0.6449031468449172,6.040205864435664,0.0013995821833149,0.2170220738047538
watched,1,257,0.604890907807094,6.104017377180617,0.0010651417338796,0.1760882367600935
awesome,1,247,0.5813542966083743,6.143548215937253,0.0014490366328511,0.2492519004856223
content,1,247,0.5813542966083743,6.143548215937253,0.0012025733026843,0.2068572142151843
watch,1,241,0.5672323298891425,6.168039235945549,0.0011858651697853,0.2090616326500749
comments,1,236,0.5554640242897828,6.188916820967104,0.0009898994297425,0.1782112587774203
youtube,1,197,0.4636712406147762,6.368709931407699,0.0008765042320867,0.189035712226759
comment,1,165,0.3883540847788735,6.544989173745692,0.000664200519152,0.1710296209527991
liked,1,83,0.1953538729493727,7.226160163258921,0.0003944021629299,0.2018911409205338
subscribed,1,79,0.1859392284698849,7.274950327428353,0.0004002941643489,0.2152822551986694
subscriber,1,31,0.0729634947160307,8.19124105930251,0.0001857314247724,0.2545539046551271
subscribe,1,29,0.0682561724762868,8.25577958044008,0.0001888842692341,0.2767284809293279
subscribers,1,11,0.0258902723185915,9.172070312314236,6.236386662057778e-05,0.2408776001007716
