feature,ngram_size,document_frequency,document_frequency_percent,idf,mean_tfidf_all_comments,mean_tfidf_when_present
heat pump,2,1651,3.885894508908607,4.247235008021312,0.0052423601485049,0.1349074231553773
does not,2,1492,3.511662390848965,4.348434164563045,0.0044371991816512,0.126356086883924
great video,2,1391,3.273942617741897,4.41848012120787,0.0050416847786819,0.1539942927331847
did not,2,1230,2.895003177442512,4.541394835917782,0.0039225733806788,0.1354946140039865
spray foam,2,1029,2.4219172923482475,4.719662880878554,0.0046659756958656,0.1926562773471758
would not,2,770,1.8123190623014096,5.009288588538905,0.0026913696360958,0.1485041840633823
hot water,2,643,1.5134041000776708,5.1892782359978815,0.0023037918800068,0.1522258252034981
heat pumps,2,639,1.503989455598183,5.195508785748517,0.0023036116155157,0.1531667397627806
years ago,2,633,1.4898674888789512,5.204928007665009,0.0019851121197524,0.1332408509193114
not know,2,527,1.2403794101725234,5.387880678395973,0.0019834216218075,0.1599044296883099
why not,2,525,1.2356720879327794,5.391675749364525,0.0027498121084579,0.222535746765812
not sure,2,507,1.193306187775084,5.4264955145237534,0.0017316762265292,0.1451158339971326
vapour barrier,2,505,1.1885988655353403,5.43044029281477,0.0022878497572287,0.1924829161096576
solar panels,2,487,1.1462329653776449,5.466661556249088,0.0019127292955795,0.1668709026309851
not use,2,463,1.0897450985007178,5.51709240987598,0.0019677815540283,0.1805726455421263
vapor barrier,2,448,1.0544401817026383,5.549954074359981,0.0020642676239963,0.1957690592427041
not want,2,433,1.019135264904559,5.58393242800183,0.0016192878702671,0.1588884151132586
not need,2,429,1.0097206204250713,5.593191753414627,0.0017821226477342,0.1764966082384253
looks like,2,426,1.0026596370654552,5.600192948873611,0.0018476554221478,0.1842754364337973
would like,2,416,0.9791230258667356,5.623890740303434,0.001607693744207,0.1641973175724112
make sure,2,402,0.9461717701885284,5.658040400155552,0.0015140980168693,0.1600235881659868
wall insulation,2,362,0.8520253253936498,5.762574127837384,0.0015143883632727,0.1777398298076513
could not,2,349,0.8214277308353143,5.799043807618776,0.0012800640635901,0.1558340454720809
not work,2,343,0.8073057641160826,5.816335304728836,0.0015075257815588,0.1867354165629496
thanks video,2,341,0.8025984418763387,5.82216622503963,0.0015645710506856,0.1949382118195926
not just,2,338,0.7955374585167228,5.830976854721785,0.0015884816655692,0.1996740252220127
heat loss,2,337,0.7931837973968509,5.833931066619217,0.0012852022624553,0.1620308264835024
air gap,2,327,0.7696471861981312,5.863963353718091,0.0013560695309971,0.1761936579922785
know what,2,313,0.7366959305199238,5.9075839761939815,0.0013367189116284,0.1814478479180808
what would,2,308,0.724927624920564,5.92363568520449,0.0014394002917959,0.1985577928491379
underfloor heating,2,306,0.72022030268082,5.930129214515038,0.0013230158755315,0.1836959983781286
cavity wall,2,302,0.7108056582013321,5.943244156592866,0.0013221000148045,0.1860002096986776
air flow,2,299,0.7037446748417163,5.953194487446034,0.0011809849240707,0.1678144029063319
cold air,2,294,0.6919763692423565,5.970001605762415,0.0012431502963504,0.179652131432109
would need,2,289,0.6802080636429967,5.987096039121715,0.0011921323170385,0.1752599507059403
year old,2,288,0.6778544025231247,5.990550273989803,0.0010147883065228,0.1497059402056828
how would,2,283,0.666086096923765,6.008002723941029,0.0014614334559696,0.2194060892006428
old house,2,279,0.656671452444277,6.022187358932985,0.0011186318302589,0.1703487834129433
would recommend,2,277,0.6519641302045331,6.029355848411598,0.0012565363578781,0.1927309033832746
over years,2,275,0.6472568079647892,6.036576096385085,0.0009803851861998,0.15146772874936
should not,2,272,0.6401958246051733,6.047505166917276,0.0010879347507296,0.1699378079200454
know how,2,271,0.6378421634853014,6.051174895806238,0.0011679534035374,0.1831100968859676
how does,2,268,0.6307811801256855,6.062265582500396,0.0016791893827329,0.266207907851392
not think,2,267,0.6284275190058135,6.065989981591378,0.0010585640051223,0.1684464752270856
gas boiler,2,263,0.6190128745263257,6.081027858955919,0.0010005923296211,0.1616432179034715
foam board,2,247,0.5813542966083743,6.143548215937253,0.0012101702877293,0.2081639879140013
would love,2,245,0.5766469743686304,6.151645426169872,0.001071548244312,0.1858239602289187
how did,2,244,0.5742933132487584,6.155718751557508,0.0017240071738646,0.3001962819507694
warm roof,2,244,0.5742933132487584,6.155718751557508,0.0012079969723957,0.2103449482220357
house built,2,234,0.5507567020500388,6.1973914479580765,0.0009271950230072,0.1683492946261002
why would,2,233,0.5484030409301669,6.201655846744534,0.0013926222663194,0.2539413829575771
video thanks,2,232,0.5460493798102949,6.205938508536534,0.0011680090947989,0.2139017345289865
fresh air,2,226,0.5319274130910632,6.2320269446208325,0.000917361874269,0.1724599732392409
central heating,2,222,0.5225127686115753,6.249805190642117,0.0008520761970466,0.1630727990266738
flat roof,2,221,0.5201591074917034,6.254299580229955,0.0009282642016179,0.1784577426884286
under floor,2,220,0.5178054463718313,6.258814260584482,0.0009035894089979,0.1745036510004299
closed cell,2,219,0.5154517852519594,6.2633494157498735,0.0010450009446452,0.2027349549549919
foam insulation,2,215,0.5060371407724715,6.28169855441807,0.0010614013181287,0.2097477107131854
water heater,2,215,0.5060371407724715,6.28169855441807,0.0009563632344741,0.188990719735365
good video,2,214,0.5036834796525996,6.286338933974572,0.0010035674245685,0.1992456503160858
years old,2,212,0.4989761574128556,6.29568479639281,0.0008990226087151,0.1801734602664156
house not,2,210,0.4942688351731117,6.305118828626169,0.000858068261009,0.1736035533594869
more efficient,2,210,0.4942688351731117,6.305118828626169,0.0007610751089479,0.1539799912089181
not really,2,210,0.4942688351731117,6.305118828626169,0.0007078850138226,0.1432186218204003
not understand,2,209,0.4919151740532398,6.309869431384766,0.00092523203602,0.1880877201645226
living room,2,209,0.4919151740532398,6.309869431384766,0.0008342287680409,0.169587931424666
gap between,2,206,0.4848541906936239,6.324258168836866,0.0008401498102533,0.173278859166177
how long,2,197,0.4636712406147762,6.368709931407699,0.0012071021742216,0.2603357871885987
ridge vent,2,197,0.4636712406147762,6.368709931407699,0.0009052257011024,0.1952300729073103
just not,2,196,0.4613175794949043,6.373773233364247,0.0008206167751109,0.1778854332864265
save money,2,194,0.4566102572551604,6.383977403538489,0.0008214956179047,0.1799117748346376
great job,2,193,0.4542565961352884,6.389118803038907,0.0010083778030867,0.2219841850764144
no insulation,2,190,0.4471956127756725,6.4047035340556056,0.0008869588864158,0.1983380116165901
cold roof,2,185,0.4354273071763127,6.431230288389034,0.0008666015260045,0.1990232380289399
not good,2,185,0.4354273071763127,6.431230288389034,0.0007648449953119,0.1756538881936152
crawl space,2,182,0.4283663238166968,6.447490809260814,0.000932252019425,0.2176296238973152
insulation not,2,181,0.4260126626968249,6.452970275025439,0.0007855715758658,0.1844009919547623
warm air,2,180,0.4236590015769529,6.458479930836409,0.0006767818379835,0.1597468330578074
soffit vents,2,178,0.418951679337209,6.46959115626148,0.0007640034441177,0.1823607546642193
never seen,2,177,0.416598018217337,6.4751934118101495,0.0011853036719973,0.2845197576957616
over time,2,177,0.416598018217337,6.4751934118101495,0.000756394284099,0.1815645420820146
more expensive,2,176,0.4142443570974651,6.480827229528406,0.0007157176530995,0.1727766814047739
what happens,2,175,0.4118906959775931,6.486492967064083,0.0010668899131666,0.2590225813754846
would work,2,174,0.4095370348577212,6.492190988178721,0.0008411507573369,0.2053906449826066
expanding foam,2,172,0.4048297126179773,6.503685367604456,0.0010393312544692,0.2567329477246287
new build,2,172,0.4048297126179773,6.503685367604456,0.0007050223138888,0.1741528084313698
why did,2,171,0.4024760514981053,6.509482485288782,0.0011143182258757,0.2768657220045669
not like,2,169,0.3977687292583614,6.521178525051973,0.0007901482616471,0.1986451431515
mini split,2,168,0.3954150681384894,6.527078247179162,0.00084161722716,0.2128439948235121
combi boiler,2,166,0.3907077458987455,6.53898314968548,0.0007149908551951,0.1829988943655163
mineral wool,2,165,0.3883540847788735,6.544989173745692,0.0007828705145513,0.201586785162071
ground floor,2,162,0.3812931014192576,6.563226761295472,0.0006780666744505,0.1778334493665414
just use,2,161,0.3789394402993857,6.569380626869851,0.0009442912021174,0.2491931695923123
good idea,2,161,0.3789394402993857,6.569380626869851,0.0007230175539917,0.1908002907853892
what did,2,159,0.3742321180596418,6.581803146868408,0.0009771728808171,0.2611141143853916
best way,2,157,0.3695247958198978,6.5943819290752685,0.0007363767303379,0.1992766760628515
solar panel,2,156,0.3671711347000259,6.600731156753927,0.0008290599735122,0.2257966095808581
excellent video,2,155,0.3648174735801539,6.607120954852698,0.0007562920089977,0.2073069586212203
would better,2,155,0.3648174735801539,6.607120954852698,0.0006859935374651,0.1880374672663424
air air,2,155,0.3648174735801539,6.607120954852698,0.0006358372637411,0.174289147255302
