feature,ngram_size,document_frequency,document_frequency_percent,idf,mean_tfidf_all_comments,mean_tfidf_when_present
not,1,14717,34.63883070115565,2.0601504486156905,0.0276836624155626,0.0799208918291777
would,1,7407,17.433567914891615,2.74666118577622,0.0166813969410154,0.0956855018000434
what,1,7197,16.939299079718502,2.775418473463259,0.0209001642504762,0.1233826981395005
just,1,6264,14.743333254877962,2.9142430947720666,0.0142070119118182,0.096362278910827
house,1,5947,13.99722267987855,2.9661666545221896,0.0141822523333185,0.1013219026207675
how,1,5638,13.269941393838115,3.019514938295053,0.0172768113819041,0.1301950842821855
insulation,1,5581,13.135782710005412,3.029674548005968,0.015314172606564,0.1165836322406533
video,1,5295,12.462635629722032,3.082269864485391,0.0136584775325651,0.1095954173609247
heat,1,4905,11.544707792971968,3.1587627372838005,0.0128752499681309,0.1115251264823611
like,1,4877,11.478805281615552,3.164486383326369,0.0118686243344897,0.1033959897681907
when,1,4569,10.75387765669499,3.2297084782139844,0.0106215496887801,0.098769486020399
use,1,4431,10.42907242215266,3.2603707336751158,0.0119258177923111,0.1143516634037292
air,1,4343,10.221950243603926,3.280426100488464,0.0115620503349502,0.1131100236198554
no,1,4324,10.17723068232636,3.284809542736256,0.0106681897196999,0.1048240926505297
need,1,3887,9.148680772942312,3.3913267965219056,0.0104480623842821,0.1142029396760992
great,1,3675,8.649704615529457,3.4473964786266573,0.0102810103275401,0.1188596696016867
more,1,3631,8.54614352625509,3.459438222381052,0.008639043126736,0.1010870353416782
did,1,3520,8.284887141949302,3.4904766429471827,0.0108509718123146,0.1309730793721055
does,1,3515,8.273118836349942,3.4918977032971674,0.0104523197571319,0.1263407423958082
thanks,1,3303,7.774142678937086,3.5540878274613665,0.0099175924700223,0.1275715262712196
work,1,3303,7.774142678937086,3.5540878274613665,0.0093581339171478,0.1203751243529708
good,1,3150,7.414032527596676,3.6015018203449607,0.0085799514555539,0.1157258404736892
wall,1,2906,6.839739214347918,3.682100061543359,0.008924818357553,0.1304847754842936
where,1,2893,6.809141619789583,3.6865820549108057,0.009336668318932,0.137119608318862
roof,1,2876,6.769129380751759,3.692473598550688,0.0094049976703751,0.1389395465998707
heating,1,2810,6.6137877468402095,3.715681391195703,0.0077212685925571,0.1167450315629799
should,1,2721,6.404311907171605,3.747854778890824,0.0079274054458966,0.1237823135537713
could,1,2707,6.371360651493398,3.753011328070069,0.0073714836160314,0.115697164534292
foam,1,2644,6.223080000941464,3.776550617809835,0.0102886571859117,0.1653306270264114
why,1,2636,6.204250711982489,3.779579775748948,0.0098987049000137,0.1595471453288635
water,1,2619,6.164238472944666,3.786047365347093,0.0076306620200252,0.1237892085699937
cold,1,2611,6.14540918398569,3.7891054717059136,0.0073878153846973,0.1202168181729742
over,1,2580,6.072445689269659,3.801044762383621,0.0068062320469496,0.112083868596414
new,1,2552,6.006543177913244,3.811952544860752,0.0068551979649692,0.1141288385335606
years,1,2524,5.940640666556829,3.822980620392775,0.0067551474376141,0.1137107564112172
way,1,2474,5.822957610563231,3.842981287099444,0.0068681424261626,0.1179493804609426
time,1,2469,5.811189304963872,3.845003532480212,0.0064198345192962,0.1104736772868933
home,1,2427,5.712335537929249,3.8621538099228463,0.0067976792275411,0.1189999989042192
old,1,2380,5.6017134652952665,3.881701115615373,0.0065546490216721,0.1170115012536909
know,1,2290,5.38988396450679,3.92023327964874,0.0067931487533924,0.1260351576792068
used,1,2217,5.218066702756137,3.952615794191922,0.0067109168521005,0.1286092576884067
make,1,2170,5.107444630122155,3.9740337922239433,0.0061529427726778,0.1204700827570331
never,1,2147,5.0533104243651,3.98468450647348,0.0076668425903329,0.1517192087263516
think,1,2112,4.970932285169582,4.001112944486179,0.0057957380874815,0.1165925777096719
using,1,2075,4.883846823734319,4.018778717816456,0.0061267947652633,0.1254501827430101
really,1,2056,4.839127262456752,4.027973072449278,0.0056707543069402,0.1171854757971639
walls,1,2055,4.83677360133688,4.028459335527179,0.0061225522273896,0.1265833948832619
pump,1,2050,4.82500529573752,4.030894204029854,0.0063391045651112,0.1313802612965283
floor,1,2041,4.803822345658672,4.035291963377624,0.006822664775041,0.1420257512480011
cost,1,2029,4.7755784122202085,4.0411858900664015,0.0071050927276629,0.1487797312568836
room,1,2024,4.7638101066208485,4.043651982561595,0.0060064118240009,0.1260841991928502
going,1,1998,4.702614917504178,4.056574627601835,0.0058383261649752,0.1241506325181709
install,1,1959,4.610822133829172,4.076277209877672,0.0061390743297396,0.1331448958895601
want,1,1950,4.589639183750323,4.080879621479124,0.0056876340088766,0.1239233364795601
installed,1,1901,4.474309788876598,4.1063157189969,0.0052994933901614,0.1184427015611717
thank,1,1857,4.370748699602231,4.129721042728452,0.0066888468834801,0.1530366384159513
outside,1,1855,4.366041377362487,4.130798048756089,0.005450733895701,0.1248438442192184
solar,1,1853,4.361334055122743,4.131876215976435,0.0065140421819454,0.1493589369586168
between,1,1834,4.316614493845176,4.142177201613564,0.0051430059438761,0.1191444348623041
boiler,1,1786,4.203638760091322,4.168683446942807,0.0060766265914455,0.1445563460194551
through,1,1734,4.08124838185798,4.198214269721276,0.0048663431777312,0.1192366335595534
better,1,1731,4.074187398498364,4.199944872979854,0.0052901205594845,0.1298448019704337
problem,1,1685,3.965918986984254,4.226862823540435,0.0057518815878586,0.1450327555034729
got,1,1631,3.838821286511168,4.259415426578183,0.0051747804563595,0.1348012858671662
moisture,1,1620,3.8129310141925767,4.266178440366559,0.0051599420548817,0.1353274432628152
