feature,ngram_size,document_frequency,document_frequency_percent,idf,mean_tfidf_all_comments,mean_tfidf_when_present
not,1,14717,34.6747402398511,2.0591143255069366,0.028036893576677678,0.08085682367839442
would,1,7407,17.451641024432767,2.7456250626674654,0.016952961811349056,0.0971425081894273
what,1,7197,16.95685978842212,2.7743823503545046,0.021272448369150168,0.12545039962926782
just,1,6264,14.758617439860519,2.913206971663312,0.014425242541721102,0.09774115089372107
house,1,5947,14.011733383596823,2.9651305314134353,0.014375826710603933,0.10259848883103459
how,1,5638,13.283698136324011,3.018478815186299,0.017610443881610875,0.13257184634040622
insulation,1,5581,13.149400372263978,3.0286384248972134,0.015495098313523288,0.11783882059144757
heat,1,4905,11.556676012534458,3.1577266141750466,0.013005370556482935,0.11253556422605611
like,1,4877,11.490705181066371,3.163450260217615,0.012044464552721504,0.10481919397399196
when,1,4569,10.765026034917419,3.2286723551052305,0.010739250601851403,0.09976056320734933
use,1,4431,10.439884079824706,3.259334610566361,0.01206971282350628,0.11561155977614015
air,1,4343,10.232547180925005,3.2793899773797097,0.011649434525831386,0.11384686842732247
no,1,4324,10.187781259571661,3.2837734196275012,0.010795292551004901,0.10596313638813622
need,1,3887,9.158165068444738,3.3902906734131513,0.010599498120872268,0.11573822967434569
more,1,3631,8.555003180736517,3.458402099272297,0.008741935464701717,0.10218506387450702
did,1,3520,8.293475955988031,3.4894405198384284,0.01107268647850129,0.13351080460426995
does,1,3515,8.28169545036873,3.4908615801884135,0.01058153676443236,0.127770174933941
work,1,3303,7.78220201211036,3.553051704352612,0.009580446246203,0.12310713897293185
good,1,3150,7.421718540159744,3.6004656972362064,0.008751034026456352,0.11791115466186887
wall,1,2906,6.846829865937846,3.681063938434605,0.00902306502738279,0.13178456605547412
where,1,2893,6.816200551327663,3.685545931802052,0.009474402856964406,0.13899829950160397
roof,1,2876,6.776146832222039,3.691437475441933,0.009503942018279856,0.14025584529967036
heating,1,2810,6.620644158047264,3.714645268086949,0.00780444273707857,0.11788041391097001
should,1,2721,6.410951158023702,3.7468186557820693,0.00803167987938875,0.12528062812234353
could,1,2707,6.377965742289659,3.7519752049613153,0.0075044016316907726,0.11766136625557867
foam,1,2644,6.229531371486464,3.7755144947010812,0.010381361815189524,0.16664755655147087
why,1,2636,6.210682562495582,3.7785436526401943,0.010048505628099157,0.1617939015073644
water,1,2619,6.1706288433899585,3.785011242238338,0.007703683648651282,0.12484438529962061
cold,1,2611,6.151780034399076,3.7880693485971593,0.007466605696402215,0.12137309290402114
over,1,2580,6.078740899559409,3.8000086392748673,0.0068778465532391385,0.1131459074647786
new,1,2552,6.0127700680913225,3.810916421751997,0.006971026073867086,0.11593701397066643
years,1,2524,5.946799236623236,3.821944497284021,0.0068469359505545085,0.1151364907089481
way,1,2474,5.828994180430224,3.8419451639906903,0.006957390941768447,0.11935834427707284
time,1,2469,5.817213674810922,3.843967409371458,0.006513777630200908,0.11197418548344154
home,1,2427,5.718257427608793,3.861117686814092,0.006910354137457449,0.12084720257771178
old,1,2380,5.607520674787362,3.880664992506618,0.006650240719742983,0.11859502809581993
know,1,2290,5.395471573639941,3.9191971565399855,0.006921491966063605,0.12828335524700332
used,1,2217,5.223476191598143,3.9515796710831688,0.006828367928021524,0.1307245917767332
make,1,2170,5.112739438776712,3.9729976691151894,0.0062589259936818185,0.1224182469814919
never,1,2147,5.058549112927927,3.983648383364726,0.007796188650841887,0.1541190660957998
think,1,2112,4.976085573592819,4.000076821377425,0.005890341471624481,0.1183729938826505
using,1,2075,4.88890983200999,4.017742594707702,0.0062435415041293746,0.12770825641434363
really,1,2056,4.844143910656645,4.026936949340524,0.005813607112806479,0.12001309663854347
walls,1,2055,4.841787809532785,4.027423212418425,0.006174504555184353,0.1275253025964426
pump,1,2050,4.830007303913484,4.0298580809211,0.006422565968395174,0.13297217921785187
floor,1,2041,4.808802393798742,4.0342558402688695,0.006902238472501943,0.14353341866163644
cost,1,2029,4.780529180312419,4.040149766957648,0.00719119206730306,0.15042669537335818
room,1,2024,4.768748674693118,4.042615859452841,0.006072572187368815,0.12734099868996768
going,1,1998,4.707490045472752,4.0555385044930805,0.005945906627490032,0.12630736486013985
install,1,1959,4.615602101642202,4.0752410867689175,0.006271022652085628,0.1358657551926852
want,1,1950,4.59439719152746,4.079843498370369,0.00576757837718976,0.12553504054516154
installed,1,1901,4.478948236458309,4.105279595888145,0.005371780074058682,0.11993396195858637
outside,1,1855,4.370567584760738,4.129761925647335,0.005497957647609555,0.1257950492924487
solar,1,1853,4.3658553825130175,4.130840092867681,0.006598916956494615,0.15114831753076144
between,1,1834,4.321089461159673,4.141141078504811,0.005197684232361907,0.1202864295933132
boiler,1,1786,4.2079966072143815,4.1676473238340535,0.006152527072834231,0.14621036201136803
through,1,1734,4.085479348773649,4.197178146612521,0.0049231355341113215,0.1205032534453788
better,1,1731,4.078411045402069,4.198908749871101,0.005349312154117893,0.13116167288112404
problem,1,1685,3.970030393704498,4.22582670043168,0.005868192779674245,0.14781228851496378
heat pump,2,1651,3.8899229554932497,4.246198884912557,0.0053069422217629685,0.13642795197957944
got,1,1631,3.842800933016045,4.258379303469429,0.0052472720923694115,0.13654811123018698
moisture,1,1620,3.8168838206535827,4.265142317257805,0.005195237088808207,0.13611200479030044
