feature,ngram_size,document_frequency,document_frequency_percent,idf,mean_tfidf_all_comments,mean_tfidf_when_present,removal_basis
video,1,5295,12.462635629722032,3.082269864485391,0.0136584775325651,0.1095954173609247,Direct sensitivity stop word
great,1,3675,8.649704615529457,3.4473964786266573,0.0102810103275401,0.1188596696016867,Direct sensitivity stop word
thanks,1,3303,7.774142678937086,3.5540878274613665,0.0099175924700223,0.1275715262712196,Direct sensitivity stop word
thank,1,1857,4.370748699602231,4.129721042728452,0.0066888468834801,0.1530366384159513,Direct sensitivity stop word
great video,2,1391,3.273942617741897,4.41848012120787,0.0050416847786819,0.1539942927331847,N-gram containing a sensitivity stop word
videos,1,1243,2.9256007720008474,4.530889688803111,0.0041288359865788,0.1411277993256424,Direct sensitivity stop word
nice,1,1064,2.5042954315437664,4.6862468839587095,0.0042189286919407,0.1684676911038415,Direct sensitivity stop word
excellent,1,452,1.0638548261821263,5.541084836619201,0.0019393720881469,0.182296685639605,Direct sensitivity stop word
channel,1,428,1.0073669593051993,5.5955200431742185,0.0017460721155489,0.1733302943302088,Direct sensitivity stop word
watching,1,396,0.9320498034692964,5.673040681415045,0.0015549839388385,0.1668348550743308,Direct sensitivity stop word
thanks video,2,341,0.8025984418763387,5.82216622503963,0.0015645710506856,0.1949382118195926,N-gram containing a sensitivity stop word
amazing,1,274,0.6449031468449172,6.040205864435664,0.0013995821833149,0.2170220738047538,Direct sensitivity stop word
watched,1,257,0.604890907807094,6.104017377180617,0.0010651417338796,0.1760882367600935,Direct sensitivity stop word
awesome,1,247,0.5813542966083743,6.143548215937253,0.0014490366328511,0.2492519004856223,Direct sensitivity stop word
content,1,247,0.5813542966083743,6.143548215937253,0.0012025733026843,0.2068572142151843,Direct sensitivity stop word
watch,1,241,0.5672323298891425,6.168039235945549,0.0011858651697853,0.2090616326500749,Direct sensitivity stop word
comments,1,236,0.5554640242897828,6.188916820967104,0.0009898994297425,0.1782112587774203,Direct sensitivity stop word
video thanks,2,232,0.5460493798102949,6.205938508536534,0.0011680090947989,0.2139017345289865,N-gram containing a sensitivity stop word
good video,2,214,0.5036834796525996,6.286338933974572,0.0010035674245685,0.1992456503160858,N-gram containing a sensitivity stop word
youtube,1,197,0.4636712406147762,6.368709931407699,0.0008765042320867,0.189035712226759,Direct sensitivity stop word
great job,2,193,0.4542565961352884,6.389118803038907,0.0010083778030867,0.2219841850764144,N-gram containing a sensitivity stop word
comment,1,165,0.3883540847788735,6.544989173745692,0.000664200519152,0.1710296209527991,Direct sensitivity stop word
excellent video,2,155,0.3648174735801539,6.607120954852698,0.0007562920089977,0.2073069586212203,N-gram containing a sensitivity stop word
thanks great,2,139,0.3271588956622026,6.715334539492931,0.0006731698697334,0.2057623615494015,N-gram containing a sensitivity stop word
informative video,2,137,0.3224515734224586,6.72972327694503,0.000624026705225,0.1935257125904759,N-gram containing a sensitivity stop word
video how,2,136,0.3200979123025866,6.73699603627411,0.0008334313502108,0.2603676307088869,N-gram containing a sensitivity stop word
nice video,2,133,0.3130369289429708,6.759137162151323,0.0007739634085797,0.2472434837618494,N-gram containing a sensitivity stop word
thank video,2,130,0.3059759455833549,6.781779638901083,0.0006736461438109,0.2201631054776696,N-gram containing a sensitivity stop word
thanks sharing,2,127,0.298914962223739,6.804946698182618,0.000669806517893,0.2240792876041154,N-gram containing a sensitivity stop word
thanks advance,2,123,0.2895003177442511,6.836695396497198,0.0005627804658667,0.1943971841730157,N-gram containing a sensitivity stop word
video thank,2,122,0.2871466566243792,6.8447926067298175,0.0006200693156554,0.21594168044469,N-gram containing a sensitivity stop word
video just,2,121,0.2847929955045072,6.852955917368979,0.0006086521266397,0.2137173793763748,N-gram containing a sensitivity stop word
love videos,2,119,0.2800856732647633,6.869485219320189,0.0006124486964623,0.2186647711478797,N-gram containing a sensitivity stop word
great videos,2,113,0.2659637065455316,6.92077851370774,0.0005559902202331,0.2090474025402206,N-gram containing a sensitivity stop word
great work,2,113,0.2659637065455316,6.92077851370774,0.0006350396136919,0.2387692749285928,N-gram containing a sensitivity stop word
video what,2,102,0.24007343422694,7.0222479738726,0.0007118556627919,0.2965157994611969,N-gram containing a sensitivity stop word
video would,2,97,0.2283051286275802,7.072009483431663,0.0004824008001062,0.2112965236506542,N-gram containing a sensitivity stop word
video not,2,94,0.2212441452679643,7.103100070501695,0.0004870548852301,0.2201436266890618,N-gram containing a sensitivity stop word
interesting video,2,92,0.2165368230282204,7.124377468948979,0.0004216007237343,0.1947016298837157,N-gram containing a sensitivity stop word
would great,2,89,0.2094758396686045,7.15716729177197,0.0004751991221669,0.2268515180169147,N-gram containing a sensitivity stop word
great vid,2,88,0.2071221785487325,7.168340592370095,0.0005502348975113,0.2656571601200594,N-gram containing a sensitivity stop word
nice job,2,86,0.2024148563089886,7.191068843447652,0.0005588767481665,0.2761046092947775,N-gram containing a sensitivity stop word
after watching,2,82,0.1930002118295007,7.238136354305637,0.0003631808393436,0.1881763941608861,N-gram containing a sensitivity stop word
subscribed,1,79,0.1859392284698849,7.274950327428353,0.0004002941643489,0.2152822551986694,Direct sensitivity stop word
watched video,2,79,0.1859392284698849,7.274950327428353,0.0003840825345174,0.2065634765068856,N-gram containing a sensitivity stop word
watching videos,2,79,0.1859392284698849,7.274950327428353,0.0003688241206816,0.1983573470303861,N-gram containing a sensitivity stop word
nice work,2,76,0.178878245110269,7.313171540248551,0.000494059884007,0.2761989775237681,N-gram containing a sensitivity stop word
video question,2,75,0.176524583990397,7.326243621815904,0.0004129629512111,0.233940758774769,N-gram containing a sensitivity stop word
watching video,2,74,0.1741709228705251,7.339488848565924,0.0003722313747031,0.2137161407704671,N-gram containing a sensitivity stop word
hi great,2,73,0.1718172617506531,7.352911868898065,0.0004160117031476,0.2421245100223786,N-gram containing a sensitivity stop word
helpful video,2,69,0.1624026172711652,7.408481720052876,0.0003748175638399,0.2307952729691076,N-gram containing a sensitivity stop word
like video,2,69,0.1624026172711652,7.408481720052876,0.0003445557036978,0.2121614229421874,N-gram containing a sensitivity stop word
thank sharing,2,69,0.1624026172711652,7.408481720052876,0.0004019905825932,0.2475271577193999,N-gram containing a sensitivity stop word
great idea,2,64,0.1506343116718055,7.482589692206598,0.0003616601438681,0.2400914770707121,N-gram containing a sensitivity stop word
works great,2,64,0.1506343116718055,7.482589692206598,0.0003633320894939,0.2412014138489161,N-gram containing a sensitivity stop word
awesome video,2,63,0.1482806505519335,7.498093878742563,0.0003824925254752,0.2579517449185564,N-gram containing a sensitivity stop word
not great,2,63,0.1482806505519335,7.498093878742563,0.0002707202610399,0.182572884615919,N-gram containing a sensitivity stop word
would nice,2,63,0.1482806505519335,7.498093878742563,0.0003605403520706,0.243147268863893,N-gram containing a sensitivity stop word
great stuff,2,61,0.1435733283121896,7.529842577057144,0.0003604923056849,0.2510858457645042,N-gram containing a sensitivity stop word
hi thanks,2,61,0.1435733283121896,7.529842577057144,0.0003031976100609,0.2111796206337845,N-gram containing a sensitivity stop word
looks great,2,58,0.1365123449525737,7.579439518196516,0.0003603399212674,0.2639614178429062,N-gram containing a sensitivity stop word
make video,2,58,0.1365123449525737,7.579439518196516,0.0003696912765904,0.270811608077576,N-gram containing a sensitivity stop word
thanks videos,2,56,0.1318050227128298,7.613925694267685,0.0002716042414104,0.2060651679429442,N-gram containing a sensitivity stop word
video really,2,55,0.1294513615929578,7.631625271367086,0.0003109418094674,0.2401997210698555,N-gram containing a sensitivity stop word
love video,2,54,0.1270977004730858,7.649643776869764,0.0002841527212552,0.2235703086661377,N-gram containing a sensitivity stop word
video did,2,54,0.1270977004730858,7.649643776869764,0.0003020546708016,0.2376554962657338,N-gram containing a sensitivity stop word
thank great,2,53,0.1247440393532139,7.667992915537961,0.000291819216832,0.2339343974630724,N-gram containing a sensitivity stop word
fantastic video,2,51,0.12003671711347,7.705733243520807,0.0003057726391572,0.2547325905857678,N-gram containing a sensitivity stop word
