representation,candidate_topic_count,topic_number,topic_npmi_top_10,dominant_comment_count,dominant_comment_share,top_10_terms,top_20_terms
inclusive_primary,8,1,0.21250704539936385,6923,0.16311288080484415,insulation | wall | roof | air | barrier | walls | floor | moisture | cavity | between,insulation | wall | roof | air | barrier | walls | floor | moisture | cavity | between | cold | attic | vapour | no | inside | vents | house | gap | damp | warm
inclusive_primary,8,2,0.3471855908937648,2034,0.0479230968593172,foam | spray | spray foam | cell | use | foam insulation | closed | closed cell | expanding | foam board,foam | spray | spray foam | cell | use | foam insulation | closed | closed cell | expanding | foam board | board | expanding foam | cell spray | use spray | attic | foam not | seal | cell foam | wool | mortgage
inclusive_primary,8,3,-0.16467452349267622,3847,0.09063921023490328,what | what would | what happens | happens | what brand | using | know what | what did | what kind | brand,what | what would | what happens | happens | what brand | using | know what | what did | what kind | brand | did | kind | what cost | what size | use | size | did use | know | called | cost
inclusive_primary,8,4,0.08299159733697906,3489,0.08220436821148364,how | how did | cost | did | does | how does | how long | know | how would | long,how | how did | cost | did | does | how does | how long | know | how would | long | know how | how cost | how know | video how | work | did cost | how fix | fix | does cost | how install
inclusive_primary,8,5,0.11679232617273248,11145,0.2625874702542233,would | like | house | just | solar | more | when | never | years | good,would | like | house | just | solar | more | when | never | years | good | time | no | need | panels | home | work | not | power | battery | could
inclusive_primary,8,6,0.19962758122142563,4763,0.11222109652946305,video | great | great video | thanks | thank | hi | video thanks | thanks video | thermostat | question,video | great | great video | thanks | thank | hi | video thanks | thanks video | thermostat | question | videos | informative | thanks great | helpful | did | video what | wire | job | where | sharing
inclusive_primary,8,7,0.156698507863912,6248,0.14720919821878756,not | why | did | does | why not | did not | does not | use | wire | not use,not | why | did | does | why not | did not | does not | use | wire | not use | just | not just | why did | why would | not know | thermostat | know | not work | would not | work
inclusive_primary,8,8,0.3328628478809163,3994,0.09410267888697783,heat | pump | heat pump | water | heating | gas | boiler | air | pumps | heat pumps,heat | pump | heat pump | water | heating | gas | boiler | air | pumps | heat pumps | hot | temperature | hot water | cold | radiators | electric | furnace | flow | room | heater
inclusive_primary,10,1,0.20222904852819135,5209,0.1227293075418797,insulation | wall | roof | air | barrier | walls | floor | moisture | cavity | cold,insulation | wall | roof | air | barrier | walls | floor | moisture | cavity | cold | between | no | attic | vapour | house | inside | vents | damp | gap | warm
inclusive_primary,10,2,0.3471855908937648,1897,0.044695238319628676,foam | spray | spray foam | cell | use | foam insulation | closed | closed cell | expanding | foam board,foam | spray | spray foam | cell | use | foam insulation | closed | closed cell | expanding | foam board | board | expanding foam | cell spray | use spray | attic | foam not | seal | cell foam | wool | mortgage
inclusive_primary,10,3,-0.16467452349267622,3236,0.07624343236811724,what | what would | what happens | happens | using | what brand | know what | what did | what kind | brand,what | what would | what happens | happens | using | what brand | know what | what did | what kind | brand | kind | use | what cost | what size | size | did | did use | called | know | what type
inclusive_primary,10,4,0.08299159733697906,2948,0.06945786113139976,how | how did | cost | how does | did | how long | know | does | how would | long,how | how did | cost | how does | did | how long | know | does | how would | long | know how | how cost | how know | video how | how fix | fix | did cost | does cost | how install | work
inclusive_primary,10,5,0.31177268159086835,3192,0.07520674787361874,heat | pump | heat pump | water | heating | gas | boiler | air | pumps | hot,heat | pump | heat pump | water | heating | gas | boiler | air | pumps | hot | heat pumps | temperature | hot water | cold | radiators | electric | room | furnace | flow | house
inclusive_primary,10,6,0.20628070074571367,3929,0.09257121315646867,video | great | great video | thanks | thank | hi | video thanks | thanks video | question | videos,video | great | great video | thanks | thank | hi | video thanks | thanks video | question | videos | informative | thermostat | thanks great | video what | helpful | job | excellent | sharing | nice | really
inclusive_primary,10,7,0.18057668627057996,1898,0.04471879933086728,why | why not | use | why would | not | why did | not just | did | just | not use,why | why not | use | why would | not | why did | not just | did | just | not use | would | instead | did not | tape | why does | just use | why use | illegal | know why | why no
inclusive_primary,10,8,0.12319853218337964,12628,0.29752844992107064,would | like | house | solar | just | more | never | years | panels | when,would | like | house | solar | just | more | never | years | panels | when | battery | use | good | cost | time | power | no | home | could | energy
inclusive_primary,10,9,0.15935553989883586,5876,0.13844450203802747,not | does | does not | thermostat | work | wire | did not | need | know | not work,not | does | does not | thermostat | work | wire | did not | need | know | not work | not know | when | did | not need | wires | just | boiler | sure | nest | would not
inclusive_primary,10,10,0.004891719357429801,1630,0.03840444831892185,where | did | where did | buy | where buy | did not | how did | where does | link | know where,where | did | where did | buy | where buy | did not | how did | where does | link | know where | live | did use | what did | why did | located | where live | video where | wire | where would | based
inclusive_primary,12,1,0.12287516467815023,7260,0.17105294159225315,not | would | house | like | just | good | when | never | years | more,not | would | house | like | just | good | when | never | years | more | no | time | could | old | new | think | work | really | way | people
inclusive_primary,12,2,0.3471855908937648,1846,0.04349362674645996,foam | spray | spray foam | cell | use | foam insulation | closed | closed cell | expanding | foam board,foam | spray | spray foam | cell | use | foam insulation | closed | closed cell | expanding | foam board | board | expanding foam | cell spray | use spray | foam not | attic | seal | cell foam | wool | mortgage
inclusive_primary,12,3,-0.1646745234926762,3265,0.0769267016940367,what | what would | what happens | happens | what brand | what did | using | know what | what kind | brand,what | what would | what happens | happens | what brand | what did | using | know what | what kind | brand | kind | what cost | did | what size | use | size | cost | did use | called | know
inclusive_primary,12,4,0.10200048557532776,2895,0.06820912753575384,how | how did | did | cost | how does | how long | know | how would | long | know how,how | how did | did | cost | how does | how long | know | how would | long | know how | how cost | how know | video how | did cost | how fix | fix | would | how install | not how | insulate
inclusive_primary,12,5,0.36206218076398655,3307,0.07791626416605801,heat | pump | heat pump | water | heating | gas | boiler | pumps | heat pumps | hot,heat | pump | heat pump | water | heating | gas | boiler | pumps | heat pumps | hot | hot water | temperature | electric | radiators | furnace | air | heater | run | cold | loss
inclusive_primary,12,6,0.20628070074571364,4161,0.09803736776382442,video | great | great video | thanks | thank | video thanks | hi | thanks video | question | videos,video | great | great video | thanks | thank | video thanks | hi | thanks video | question | videos | informative | thanks great | video what | helpful | excellent | sharing | nice | job | video how | video thank
inclusive_primary,12,7,0.2031616090279976,2256,0.05315364135428693,why | not | why not | use | did | why would | why did | did not | not just | not use,why | not | why not | use | did | why would | why did | did not | not just | not use | just | instead | would not | just use | would | why use | understand | know why | why does | illegal
inclusive_primary,12,8,0.34413318147246325,3634,0.08562071484108098,solar | panels | battery | solar panels | power | panel | inverter | batteries | grid | cost,solar | panels | battery | solar panels | power | panel | inverter | batteries | grid | cost | charge | energy | use | solar panel | electric | kwh | need | electricity | more | day
inclusive_primary,12,9,0.15060839005052212,3627,0.08545578776241076,does | does not | wire | thermostat | not | work | wires | how does | boiler | need,does | does not | wire | thermostat | not | work | wires | how does | boiler | need | nest | not work | does work | connected | blue | red | connect | smart | hive | white
inclusive_primary,12,10,0.00489171935742981,1546,0.03642532337487925,where | did | where did | buy | where buy | did not | where does | how did | link | know where,where | did | where did | buy | where buy | did not | where does | how did | link | know where | live | located | where live | video where | wire | where would | what did | did use | based | hi
inclusive_primary,12,11,0.24513373922579934,4217,0.09935678439318615,insulation | wall | barrier | cavity | walls | floor | vapour | vapour barrier | vapor | wall insulation,insulation | wall | barrier | cavity | walls | floor | vapour | vapour barrier | vapor | wall insulation | between | board | vapor barrier | cavity wall | moisture | inside | brick | concrete | damp | plaster
inclusive_primary,12,12,0.2831162092668909,4429,0.10435171877576986,air | roof | vents | attic | cold | vent | warm | ventilation | ridge | soffit,air | roof | vents | attic | cold | vent | warm | ventilation | ridge | soffit | gap | space | warm roof | through | condensation | moisture | ceiling | cold air | fan | flow
inclusive_primary,14,1,0.24109297750944084,2096,0.049383879556110545,insulation | wall | cavity | walls | floor | wall insulation | cavity wall | would | board | between,insulation | wall | cavity | walls | floor | wall insulation | cavity wall | would | board | between | brick | loft | plaster | boards | concrete | gap | damp | external | exterior | wool
inclusive_primary,14,2,0.3471855908937648,1811,0.04266899135310888,foam | spray | spray foam | use | cell | foam insulation | closed | closed cell | expanding | foam board,foam | spray | spray foam | use | cell | foam insulation | closed | closed cell | expanding | foam board | board | expanding foam | cell spray | use spray | attic | foam not | seal | cell foam | wool | mortgage
inclusive_primary,14,3,-0.0591598151752249,2904,0.06842117663690125,what | what would | what happens | happens | what brand | know what | using | what kind | brand | kind,what | what would | what happens | happens | what brand | know what | using | what kind | brand | kind | what did | what cost | what size | size | know | called | use | doing | what type | type
inclusive_primary,14,4,0.1041331172520776,2532,0.05965648045614118,how | how does | cost | how did | does | how long | know | how would | long | know how,how | how does | cost | how did | does | how long | know | how would | long | know how | how cost | how know | video how | how fix | fix | work | does cost | how install | not how | insulate
inclusive_primary,14,5,0.36206218076398655,2470,0.05819569775934783,heat | pump | heat pump | gas | pumps | water | heating | heat pumps | boiler | hot,heat | pump | heat pump | gas | pumps | water | heating | heat pumps | boiler | hot | hot water | electric | temperature | radiators | furnace | loss | heater | heat loss | gas boiler | run
inclusive_primary,14,6,0.20628070074571367,3741,0.08814174304361143,video | great | great video | thanks | thank | video thanks | hi | thanks video | videos | question,video | great | great video | thanks | thank | video thanks | hi | thanks video | videos | question | informative | job | good | work | would | nice | really | thanks great | video what | love
inclusive_primary,14,7,0.17714189149324241,1759,0.041443818768701554,why | why not | why would | use | just | why did | not just | not | not use | would,why | why not | why would | use | just | why did | not just | not | not use | would | instead | tape | why does | just use | why use | illegal | know why | why no | understand why | understand
inclusive_primary,14,8,0.29211847316545736,4889,0.11518978394552694,solar | would | panels | battery | power | cost | solar panels | panel | batteries | inverter,solar | would | panels | battery | power | cost | solar panels | panel | batteries | inverter | more | grid | energy | use | like | charge | need | electric | install | kwh
inclusive_primary,14,9,0.17158440507950823,4103,0.09667082911198549,not | does | does not | work | know | not work | need | not know | like | not need,not | does | does not | work | know | not work | need | not know | like | not need | would not | sure | just | did not | want | good | not want | people | not use | make
inclusive_primary,14,10,-0.06626412611929909,1210,0.028508823598708856,where | buy | where buy | where did | where does | live | know where | link | located | know,where | buy | where buy | where did | where does | live | know where | link | located | know | where live | video where | based | where would | tool | uk | where not | goes | product | purchase
inclusive_primary,14,11,0.2279991271188257,2061,0.04855924416275947,roof | barrier | vapour | vapour barrier | vapor | vapor barrier | warm | warm roof | vents | vent,roof | barrier | vapour | vapour barrier | vapor | vapor barrier | warm | warm roof | vents | vent | cold | between | flat | moisture | cold roof | attic | joists | flat roof | ridge | osb
inclusive_primary,14,12,0.133790027102224,9102,0.21445232429375868,house | air | no | when | just | cold | never | like | years | old,house | air | no | when | just | cold | never | like | years | old | windows | room | outside | heating | more | water | open | problem | good | damp
inclusive_primary,14,13,0.3279502862580853,2144,0.05051480809556346,thermostat | wire | boiler | wires | nest | connected | connect | red | blue | smart,thermostat | wire | boiler | wires | nest | connected | connect | red | blue | smart | need | white | hive | honeywell | control | old | set | furnace | just | common
