representation,candidate_topic_count,topic_number,term_rank,term,term_weight
inclusive_primary,8,1,1,insulation,2.2027114826732004
inclusive_primary,8,1,2,wall,1.1374696979653984
inclusive_primary,8,1,3,roof,1.132970781819342
inclusive_primary,8,1,4,air,1.0949703048607846
inclusive_primary,8,1,5,barrier,0.7926763640007395
inclusive_primary,8,1,6,walls,0.725126961925
inclusive_primary,8,1,7,floor,0.654069295553628
inclusive_primary,8,1,8,moisture,0.5821912462038681
inclusive_primary,8,1,9,cavity,0.5691743552008207
inclusive_primary,8,1,10,between,0.5663963714927791
inclusive_primary,8,1,11,cold,0.5544517849946553
inclusive_primary,8,1,12,attic,0.5192523157049437
inclusive_primary,8,1,13,vapour,0.5187658280398242
inclusive_primary,8,1,14,no,0.5006384476626027
inclusive_primary,8,1,15,inside,0.47271747709649764
inclusive_primary,8,1,16,vents,0.44741182771312693
inclusive_primary,8,1,17,house,0.4472475422327068
inclusive_primary,8,1,18,gap,0.42938129190810537
inclusive_primary,8,1,19,damp,0.4190059457948961
inclusive_primary,8,1,20,warm,0.4081069254855671
inclusive_primary,8,2,1,foam,2.625069746643644
inclusive_primary,8,2,2,spray,1.9024956323166398
inclusive_primary,8,2,3,spray foam,1.8235193332306714
inclusive_primary,8,2,4,cell,0.3015289124916469
inclusive_primary,8,2,5,use,0.2952993557085617
inclusive_primary,8,2,6,foam insulation,0.26240783585182736
inclusive_primary,8,2,7,closed,0.24554909140887635
inclusive_primary,8,2,8,closed cell,0.24089426078180529
inclusive_primary,8,2,9,expanding,0.21330028716610347
inclusive_primary,8,2,10,foam board,0.21159852477675525
inclusive_primary,8,2,11,board,0.20068172569075993
inclusive_primary,8,2,12,expanding foam,0.19323524674831238
inclusive_primary,8,2,13,cell spray,0.1720426281969652
inclusive_primary,8,2,14,use spray,0.14924962139519374
inclusive_primary,8,2,15,attic,0.12825040577255564
inclusive_primary,8,2,16,foam not,0.12174003852119206
inclusive_primary,8,2,17,seal,0.10791646183026321
inclusive_primary,8,2,18,cell foam,0.10276145943599713
inclusive_primary,8,2,19,wool,0.0989283225438356
inclusive_primary,8,2,20,mortgage,0.0939744027683514
inclusive_primary,8,3,1,what,3.4620544092336405
inclusive_primary,8,3,2,what would,0.15499967824951633
inclusive_primary,8,3,3,what happens,0.14766127961318665
inclusive_primary,8,3,4,happens,0.14254331498275621
inclusive_primary,8,3,5,what brand,0.13564460584660132
inclusive_primary,8,3,6,using,0.1355882634769988
inclusive_primary,8,3,7,know what,0.1354398418336123
inclusive_primary,8,3,8,what did,0.13363982331070906
inclusive_primary,8,3,9,what kind,0.13154624958056252
inclusive_primary,8,3,10,brand,0.12864574590779276
inclusive_primary,8,3,11,did,0.12337510141345617
inclusive_primary,8,3,12,kind,0.1170012742105777
inclusive_primary,8,3,13,what cost,0.11076254395868791
inclusive_primary,8,3,14,what size,0.10966218357755249
inclusive_primary,8,3,15,use,0.10576999214043467
inclusive_primary,8,3,16,size,0.10384165596914756
inclusive_primary,8,3,17,did use,0.09300424028549299
inclusive_primary,8,3,18,know,0.09208208183936205
inclusive_primary,8,3,19,called,0.09150259767953012
inclusive_primary,8,3,20,cost,0.08676107870238638
inclusive_primary,8,4,1,how,3.2584907902969618
inclusive_primary,8,4,2,how did,0.4313066156889049
inclusive_primary,8,4,3,cost,0.40274838014111697
inclusive_primary,8,4,4,did,0.40138806676109196
inclusive_primary,8,4,5,does,0.3910039240904215
inclusive_primary,8,4,6,how does,0.3863778944661487
inclusive_primary,8,4,7,how long,0.24676771591894794
inclusive_primary,8,4,8,know,0.2359627017571845
inclusive_primary,8,4,9,how would,0.21383168047577586
inclusive_primary,8,4,10,long,0.20005831419847644
inclusive_primary,8,4,11,know how,0.16022229943361335
inclusive_primary,8,4,12,how cost,0.15786414096477908
inclusive_primary,8,4,13,how know,0.12482626789669744
inclusive_primary,8,4,14,video how,0.11144754148960455
inclusive_primary,8,4,15,work,0.10764271559134707
inclusive_primary,8,4,16,did cost,0.10101689312537286
inclusive_primary,8,4,17,how fix,0.0968466654385564
inclusive_primary,8,4,18,fix,0.09410966969808095
inclusive_primary,8,4,19,does cost,0.0850355077826376
inclusive_primary,8,4,20,how install,0.07331536511393062
inclusive_primary,8,5,1,would,1.2943454373477281
inclusive_primary,8,5,2,like,0.9907642378914702
inclusive_primary,8,5,3,house,0.9508804786184514
inclusive_primary,8,5,4,just,0.8818663432435314
inclusive_primary,8,5,5,solar,0.7403648219018651
inclusive_primary,8,5,6,more,0.7182893440870928
inclusive_primary,8,5,7,when,0.6943185904217465
inclusive_primary,8,5,8,never,0.6241822837270499
inclusive_primary,8,5,9,years,0.6208671220018313
inclusive_primary,8,5,10,good,0.5505686069458631
inclusive_primary,8,5,11,time,0.5292012276692993
inclusive_primary,8,5,12,no,0.5214139354728023
inclusive_primary,8,5,13,need,0.5150465653578908
inclusive_primary,8,5,14,panels,0.4860263096081688
inclusive_primary,8,5,15,home,0.47943932886447016
inclusive_primary,8,5,16,work,0.4766323184525108
inclusive_primary,8,5,17,not,0.47521913698630464
inclusive_primary,8,5,18,power,0.47397085007420536
inclusive_primary,8,5,19,battery,0.46399539253243804
inclusive_primary,8,5,20,could,0.451645344278084
inclusive_primary,8,6,1,video,1.9614870557006752
inclusive_primary,8,6,2,great,1.5139641877018322
inclusive_primary,8,6,3,great video,1.1901865577055566
inclusive_primary,8,6,4,thanks,1.0347585602393545
inclusive_primary,8,6,5,thank,0.43879561245002424
inclusive_primary,8,6,6,hi,0.2837824860254609
inclusive_primary,8,6,7,video thanks,0.26800324543840104
inclusive_primary,8,6,8,thanks video,0.23483812232562373
inclusive_primary,8,6,9,thermostat,0.19957839564116583
inclusive_primary,8,6,10,question,0.19524077969411044
inclusive_primary,8,6,11,videos,0.18126654736140937
inclusive_primary,8,6,12,informative,0.16954790930080296
inclusive_primary,8,6,13,thanks great,0.12516671527572867
inclusive_primary,8,6,14,helpful,0.12242648679258235
inclusive_primary,8,6,15,did,0.12168415149488856
inclusive_primary,8,6,16,video what,0.12166598638007105
inclusive_primary,8,6,17,wire,0.12155904828704378
inclusive_primary,8,6,18,job,0.11871556101580027
inclusive_primary,8,6,19,where,0.11562645310002391
inclusive_primary,8,6,20,sharing,0.11080050744496299
inclusive_primary,8,7,1,not,2.19485858876296
inclusive_primary,8,7,2,why,1.5888437245124276
inclusive_primary,8,7,3,did,0.7479254864735059
inclusive_primary,8,7,4,does,0.6550926152652456
inclusive_primary,8,7,5,why not,0.6534266369881795
inclusive_primary,8,7,6,did not,0.5150895040423914
inclusive_primary,8,7,7,does not,0.5034023924093802
inclusive_primary,8,7,8,use,0.40419211910923203
inclusive_primary,8,7,9,wire,0.2927169907591251
inclusive_primary,8,7,10,not use,0.2707242174139186
inclusive_primary,8,7,11,just,0.26439896250982176
inclusive_primary,8,7,12,not just,0.24552823745876007
inclusive_primary,8,7,13,why did,0.2423487058181439
inclusive_primary,8,7,14,why would,0.1995023721411482
inclusive_primary,8,7,15,not know,0.18636913072382483
inclusive_primary,8,7,16,thermostat,0.18607945634589154
inclusive_primary,8,7,17,know,0.1828867086318748
inclusive_primary,8,7,18,not work,0.1777967106879907
inclusive_primary,8,7,19,would not,0.1699445099948021
inclusive_primary,8,7,20,work,0.16151856175004128
inclusive_primary,8,8,1,heat,2.3000291676778732
inclusive_primary,8,8,2,pump,1.5219423204069524
inclusive_primary,8,8,3,heat pump,1.4209111179765248
inclusive_primary,8,8,4,water,0.6888779118084504
inclusive_primary,8,8,5,heating,0.620435751456225
inclusive_primary,8,8,6,gas,0.5866489087425628
inclusive_primary,8,8,7,boiler,0.5416277132012528
inclusive_primary,8,8,8,air,0.5172276158574703
inclusive_primary,8,8,9,pumps,0.5026062462367396
inclusive_primary,8,8,10,heat pumps,0.4699112392410345
inclusive_primary,8,8,11,hot,0.46162213848266226
inclusive_primary,8,8,12,temperature,0.3855518775356396
inclusive_primary,8,8,13,hot water,0.3672452511369207
inclusive_primary,8,8,14,cold,0.31498384220708087
inclusive_primary,8,8,15,radiators,0.27729720314258244
inclusive_primary,8,8,16,electric,0.2651219968873016
inclusive_primary,8,8,17,furnace,0.25937312009006475
inclusive_primary,8,8,18,flow,0.23224531579302934
inclusive_primary,8,8,19,room,0.22484746394944755
inclusive_primary,8,8,20,heater,0.21818428858589412
inclusive_primary,10,1,1,insulation,2.274606757451984
inclusive_primary,10,1,2,wall,1.1741397880894036
inclusive_primary,10,1,3,roof,1.1565330315452467
inclusive_primary,10,1,4,air,1.1135125252846076
inclusive_primary,10,1,5,barrier,0.8104308831705797
inclusive_primary,10,1,6,walls,0.7608366208713156
inclusive_primary,10,1,7,floor,0.678216872732463
inclusive_primary,10,1,8,moisture,0.5934348629928072
inclusive_primary,10,1,9,cavity,0.5905387869406347
inclusive_primary,10,1,10,cold,0.5846049933452766
inclusive_primary,10,1,11,between,0.581712072007997
inclusive_primary,10,1,12,no,0.5517139058542168
inclusive_primary,10,1,13,attic,0.5365632998163787
inclusive_primary,10,1,14,vapour,0.5312684527332421
inclusive_primary,10,1,15,house,0.5146666001565763
inclusive_primary,10,1,16,inside,0.4915688695343042
inclusive_primary,10,1,17,vents,0.46135526293574747
inclusive_primary,10,1,18,damp,0.44714889808250985
inclusive_primary,10,1,19,gap,0.4413121680447659
inclusive_primary,10,1,20,warm,0.42949791925419617
inclusive_primary,10,2,1,foam,2.5890394621592927
inclusive_primary,10,2,2,spray,1.8766613780276982
inclusive_primary,10,2,3,spray foam,1.7987886612584176
inclusive_primary,10,2,4,cell,0.2972677740007214
inclusive_primary,10,2,5,use,0.29113985824085287
inclusive_primary,10,2,6,foam insulation,0.2589486343228951
inclusive_primary,10,2,7,closed,0.242042101465808
inclusive_primary,10,2,8,closed cell,0.23755422301150614
inclusive_primary,10,2,9,expanding,0.21032274447302776
inclusive_primary,10,2,10,foam board,0.20908947092738653
inclusive_primary,10,2,11,board,0.19863479741533974
inclusive_primary,10,2,12,expanding foam,0.19056393971225014
inclusive_primary,10,2,13,cell spray,0.16966818854194612
inclusive_primary,10,2,14,use spray,0.1478447177513309
inclusive_primary,10,2,15,attic,0.12677632255730736
inclusive_primary,10,2,16,foam not,0.11987422182585727
inclusive_primary,10,2,17,seal,0.10694352105185481
inclusive_primary,10,2,18,cell foam,0.10123742014678852
inclusive_primary,10,2,19,wool,0.0977755499985784
inclusive_primary,10,2,20,mortgage,0.09285268158997317
inclusive_primary,10,3,1,what,3.4277847087352544
inclusive_primary,10,3,2,what would,0.15154471731473135
inclusive_primary,10,3,3,what happens,0.14551005344725518
inclusive_primary,10,3,4,happens,0.14044249734507935
inclusive_primary,10,3,5,using,0.13517077449625295
inclusive_primary,10,3,6,what brand,0.13370546048537416
inclusive_primary,10,3,7,know what,0.1320127671238964
inclusive_primary,10,3,8,what did,0.130696171554737
inclusive_primary,10,3,9,what kind,0.13028245100450786
inclusive_primary,10,3,10,brand,0.1267119615403911
inclusive_primary,10,3,11,kind,0.11571854238804491
inclusive_primary,10,3,12,use,0.11060563513088294
inclusive_primary,10,3,13,what cost,0.10853391707491787
inclusive_primary,10,3,14,what size,0.1074094692466528
inclusive_primary,10,3,15,size,0.1023749823746131
inclusive_primary,10,3,16,did,0.09960464777579842
inclusive_primary,10,3,17,did use,0.09125100871970489
inclusive_primary,10,3,18,called,0.09023378089691626
inclusive_primary,10,3,19,know,0.08589740871729727
inclusive_primary,10,3,20,what type,0.08571406018819766
inclusive_primary,10,4,1,how,3.1831074249411824
inclusive_primary,10,4,2,how did,0.3969284438770205
inclusive_primary,10,4,3,cost,0.3712666871128442
inclusive_primary,10,4,4,how does,0.3386820099446075
inclusive_primary,10,4,5,did,0.31328058080692667
inclusive_primary,10,4,6,how long,0.24009817816823636
inclusive_primary,10,4,7,know,0.21613180561432363
inclusive_primary,10,4,8,does,0.20947325726636556
inclusive_primary,10,4,9,how would,0.207721007904566
inclusive_primary,10,4,10,long,0.19338549726588258
inclusive_primary,10,4,11,know how,0.15520585475861107
inclusive_primary,10,4,12,how cost,0.15428027643629882
inclusive_primary,10,4,13,how know,0.12213645554408618
inclusive_primary,10,4,14,video how,0.11007320144059739
