comment_id,video_id,inclusive_topic_number,raw_sensitivity_topic_number,mapped_sensitivity_topic_number,same_dominant_topic_after_mapping
Ugw--HepXqqOg1Llf5d4AaABAg,Hyv_vQEvHgo,6,8,9,False
Ugw--KGbCqaDR9re7Z14AaABAg,tu1st66use4,16,12,13,False
Ugw--PKnpWxQhcG5PDN4AaABAg,iDMZz4HIURw,1,5,1,True
Ugw--Z9GkUHx6Py8RW14AaABAg,6FTZ3QInSGI,3,3,3,True
Ugw-07Zo_Ab1aVfhLFF4AaABAg,HkHozg0ckWY,5,5,1,False
Ugw-1-_nwHlvkEEwoXh4AaABAg,gLFH0GvBLlA,8,15,8,True
Ugw-199gDFQMBOYBx394AaABAg,qhWHoDqH2TA,3,3,3,True
Ugw-1MVWMm9fRbR4Y3d4AaABAg,3hukFwgTFI0,9,8,9,True
Ugw-1RseBtteMqdsFa54AaABAg,xctcko4E5OM,7,9,10,False
Ugw-1c291liCfS6wXWN4AaABAg,U522et_9P70,12,11,12,True
Ugw-2N1Aa3UbYeppg2d4AaABAg,UUalCAU4W8g,3,3,3,True
Ugw-2ZNu_psDAhQL-wh4AaABAg,f-JTVbBjtMc,1,16,6,False
Ugw-3CgF_d4QyjU3WXZ4AaABAg,Kz5JbXTo4rM,8,15,8,True
Ugw-3FdzxM47kuHrP1F4AaABAg,kGs_biFA87Q,5,5,1,False
Ugw-3HRdeIZcObawcqx4AaABAg,tu1st66use4,13,12,13,True
Ugw-3nxku9ZJ5WzJOqd4AaABAg,vG-K5TDYYNA,14,13,14,True
Ugw-440nFddK0mDxnGN4AaABAg,7NsZ2d2Oups,14,5,1,False
Ugw-4QwRFdF8ks3LuKN4AaABAg,wosTOl-YVy8,9,8,9,True
Ugw-4UEX__RvBXrDjK54AaABAg,hjlVL4sgqKw,5,7,5,True
Ugw-4bwgAkX1j863_D14AaABAg,Qz-aHoew5cs,8,15,8,True
Ugw-5HcOSibcYKcD6Wx4AaABAg,ynFQ9yPRitc,1,1,16,False
Ugw-5VJqLDeP8Go1CnN4AaABAg,PHeTx5sGL3A,7,6,7,True
Ugw-6QzN5Q3lCRCn1OV4AaABAg,bPe_b87qVUY,1,5,1,True
Ugw-6UDSl5FhOr6EQXx4AaABAg,5RyDxZLA8b8,16,4,4,False
Ugw-6YERag-iLpesSfF4AaABAg,ge6pQeFlj3k,6,13,14,False
Ugw-6sE1X0PW_j0xY3p4AaABAg,CPLkXkKwTFM,12,11,12,True
Ugw-7ZvIhvl3QpzKYJd4AaABAg,5dCCntGj1wM,14,13,14,True
Ugw-7fNT26icqW6yfsd4AaABAg,Ou1CjwflZtM,13,12,13,True
Ugw-8Y9PS1h6LpBaegJ4AaABAg,k5cYjwz-I1s,1,5,1,True
Ugw-9VU9-eMVtLP1V5F4AaABAg,YrelmD9xS3c,13,12,13,True
Ugw-A2eOXI4pWx01z3V4AaABAg,gLFH0GvBLlA,8,15,8,True
Ugw-A49GpyGp79NLNKN4AaABAg,XAihvGjayMI,8,15,8,True
Ugw-AMHGlGzYHudJ2514AaABAg,Vufih-WN5R4,4,4,4,True
Ugw-AjR57E344e0IWeF4AaABAg,5RyDxZLA8b8,1,1,16,False
Ugw-B1qQTy5H3H0PSnV4AaABAg,U-hVUczzlL4,1,5,1,True
Ugw-BIDEdE1B2SivYql4AaABAg,qyZm66j8QU4,9,8,9,True
Ugw-ChvLa3G4YuJr6LJ4AaABAg,7hY95JosjI0,16,1,16,True
Ugw-DSnVi0vDbALe7y54AaABAg,Q3Oufer38ow,4,4,4,True
Ugw-DbR9Mr4_FIGcR794AaABAg,khc5R8FXJYg,16,1,16,True
Ugw-DwYEIl5YuXa4XYJ4AaABAg,NnTpTE9r0sM,5,5,1,False
Ugw-EZ2DQnEz8-Uh3Cl4AaABAg,CPLkXkKwTFM,13,12,13,True
Ugw-FF-BmJZq_rb94hN4AaABAg,_UGNgGcwhjs,6,14,15,False
Ugw-FNbyqD2InOSfmKV4AaABAg,3zUMOblSJ60,12,5,1,False
Ugw-HMb7U6R5JOBShFV4AaABAg,H51FYrDR5xs,1,5,1,True
Ugw-Hojt7n6EWDoXmo14AaABAg,GhAKMAcmJFg,8,15,8,True
Ugw-I9CGU-rpV6qBKQZ4AaABAg,hpEKLDp6DsA,13,12,13,True
Ugw-IQP_jbBZtqsi_854AaABAg,YgRAlnQv3GE,5,16,6,False
Ugw-ITbIMkVEE5AuSAZ4AaABAg,C7jJgrf_kOA,4,4,4,True
Ugw-IjKi1vaaINnScsB4AaABAg,7n2L5g4Z3i8,12,11,12,True
Ugw-It5_-nAZdZo5qa54AaABAg,MwDCWACcfVA,16,11,12,False
Ugw-JlXle7xdlJ8xM2d4AaABAg,4-6KqpUoM3g,1,1,16,False
Ugw-K7UwxclD2L_bXBh4AaABAg,Q3Oufer38ow,9,8,9,True
Ugw-MLdQx0-PIj75hGJ4AaABAg,6N2XWDNsY7I,2,2,2,True
Ugw-MuguruHP13tkjqh4AaABAg,OZvrTuhJhXs,8,4,4,False
Ugw-Nqge92u5bu5sTQt4AaABAg,NQMvw_CcWm4,14,13,14,True
Ugw-Nz7YoyXyhQQ9nGd4AaABAg,DSpJfAKdJLg,1,1,16,False
Ugw-O5yL4KCY1O9VcXh4AaABAg,U9IlMWrsE24,2,2,2,True
Ugw-OPUQpHGFQR4wfPt4AaABAg,0oDLwBZurp8,10,9,10,True
Ugw-Oqlub8xw2FXq7GV4AaABAg,JlQ16FEl4zI,8,15,8,True
Ugw-PI7vnTbqGu5GLV14AaABAg,i41oW85zPm8,12,11,12,True
Ugw-PO8Eo7X7wiv1Jtl4AaABAg,QOe4lluGwCg,12,4,4,False
Ugw-PhjGdsrzCi-mRH14AaABAg,FsFTsrfhBug,12,11,12,True
Ugw-QAsODLJodNer8wp4AaABAg,dIPM5yk2u38,7,6,7,True
Ugw-Qv9iZO0IVRuFIsB4AaABAg,zmYtFOSPx2o,13,12,13,True
Ugw-RoBi12S0jMhaIz94AaABAg,IK8e7fJPsBs,12,11,12,True
Ugw-SKPqaZlavQ8ovqh4AaABAg,kGs_biFA87Q,5,5,1,False
Ugw-SfgxgqMRWA7csil4AaABAg,Kl3EAJD7Kbs,12,11,12,True
Ugw-SssiS25MlQWActh4AaABAg,khc5R8FXJYg,6,15,8,False
Ugw-TSs_48G0zoIaW9Z4AaABAg,2Apa2WcG9z0,8,15,8,True
Ugw-TdJ7seSWIxspju94AaABAg,hkZzV5nAV8A,12,11,12,True
Ugw-Tpm1rh2tDijU2yh4AaABAg,t9CgJhPSvkc,14,13,14,True
Ugw-U4yiVMJrGNb1yZN4AaABAg,AGgixk6jaew,16,5,1,False
Ugw-ULIawT4-4e-LDbd4AaABAg,Qf_30U_Erno,16,1,16,True
Ugw-UWRqnmRzVx7KHM14AaABAg,Ux7N5-2F7X8,2,2,2,True
Ugw-Um0Rx4RI4TVm9_x4AaABAg,7NsZ2d2Oups,5,5,1,False
Ugw-VNVxbqxiunyjT4t4AaABAg,cCLM8T1TtMU,3,3,3,True
Ugw-VhH935CM7SP1au54AaABAg,uv75G4ed2dw,16,16,6,False
Ugw-Vsv1-1dgejREsYR4AaABAg,twV-c5i0MjM,10,9,10,True
Ugw-Wd8GDn17Q30wABV4AaABAg,wN34zF7e4J8,13,12,13,True
Ugw-X58dphLxYhBvbnp4AaABAg,IKdzI0aVWgM,14,13,14,True
Ugw-XBypbmjasItcmFd4AaABAg,uqyAWkXXt3A,5,7,5,True
Ugw-XO2Z0L5JLGf1oCt4AaABAg,KxHcu7JvZwk,1,5,1,True
Ugw-XqT1N-osj-3KMcp4AaABAg,ejubOh5tegY,15,14,15,True
Ugw-XvX_vKBttLeqRw94AaABAg,C1fttmKe-_Q,1,5,1,True
Ugw-Y1GMJJPUxR0v0TZ4AaABAg,2hw9XA9qHjA,3,3,3,True
Ugw-Y5C9yRC4fpWk6GB4AaABAg,ygdC9eB-QEw,6,4,4,False
