dominant_topic_number,dominant_topic_label,secondary_topic_number,secondary_topic_label,comment_count,share_of_all_comments,share_within_dominant_topic,mean_secondary_relative_weight,median_secondary_relative_weight,mean_dominance_margin
6,"Praise, gratitude and social endorsement",1,Situated household retrofit experience and building context,1074,0.025304526070258935,0.2864,0.20428810488834506,0.1991966702189466,0.37189928711561887
12,Roof and attic ventilation and airflow,1,Situated household retrofit experience and building context,1061,0.024998232924157104,0.26152329307369976,0.22149840738055734,0.21684297862828608,0.3098658105765438
8,"Solar PV, batteries and power systems",1,Situated household retrofit experience and building context,945,0.022265155620479232,0.27794117647058825,0.20305104304935626,0.1938684177844021,0.3755375948855643
13,"Wall, cavity and floor insulation",1,Situated household retrofit experience and building context,928,0.021864618429422993,0.2833587786259542,0.21915008421148852,0.21537842004241436,0.32566866954518825
5,Heat pumps and heating systems,1,Situated household retrofit experience and building context,805,0.0189666140470749,0.2715008431703204,0.22020466659823207,0.21466806837806782,0.2804973671747117
3,Clarification and specification questions,1,Situated household retrofit experience and building context,667,0.015715194496147774,0.23770491803278687,0.17428649302077373,0.1744436958872401,0.43281851589120024
1,Situated household retrofit experience and building context,12,Roof and attic ventilation and airflow,655,0.015432462361284547,0.12830558276199805,0.23954750315444268,0.23128039956168905,0.2389857954600042
16,"Prospective choices, recommendations and alternatives",1,Situated household retrofit experience and building context,644,0.01517329123765992,0.23931623931623933,0.22502211595766966,0.2209041210954576,0.3028173748605621
1,Situated household retrofit experience and building context,8,"Solar PV, batteries and power systems",611,0.014395777866786042,0.11968658178256611,0.23191032566597114,0.22334367082023862,0.23730059910173518
12,Roof and attic ventilation and airflow,13,"Wall, cavity and floor insulation",583,0.013736069552105176,0.14370224303672666,0.23944284452965234,0.23424295372239537,0.23427669583269564
4,"Implementation, cost and how-to questions",1,Situated household retrofit experience and building context,561,0.013217727304855924,0.23680878007598144,0.17934339835519375,0.1776260929447087,0.4283683506670043
1,Situated household retrofit experience and building context,6,"Praise, gratitude and social endorsement",537,0.012652263035129467,0.10519098922624878,0.2309526754215499,0.22789768638907804,0.2757462972222826
