topic_number,topic_label,topic_type,interpretation_confidence,dominant_comment_count,dominant_comment_share,soft_prevalence_mean_relative_weight,dominant_share_minus_soft_prevalence,mean_dominant_relative_weight,median_dominant_relative_weight,dominant_relative_weight_q25,dominant_relative_weight_q75,mean_secondary_relative_weight_within_dominant_comments,median_dominance_margin,mean_dominance_margin,median_effective_topic_count,unique_videos_with_dominant_comments
1,Situated household retrofit experience and building context,mixed,4,5105,0.12027896237306505,0.14016730859501006,-0.019888346221945005,0.4776723277581098,0.4319432862958904,0.33087048124478574,0.5806910845990306,0.22041848268429956,0.17271609431419654,0.2572538450738103,4.221925473310685,693
2,Spray foam and foam insulation,technical_subject,5,1636,0.03854581438635346,0.03419341499955106,0.0043523993868024025,0.5769375840229701,0.5482989829758171,0.4069666403166857,0.7266574088501176,0.19548777422823385,0.31967107225348707,0.3814498097947362,3.4174401987791896,220
3,Clarification and specification questions,knowledge_sharing_behaviour,4,2806,0.06611219753551822,0.06606805859985038,4.413893566784788e-05,0.5848965716572934,0.5502470344942825,0.40446979006040296,0.7646738714130225,0.19922343403196938,0.32172341587051967,0.38567313762532407,3.238369864847445,647
4,"Implementation, cost and how-to questions",knowledge_sharing_behaviour,4,2369,0.05581603562424899,0.05380471607253643,0.002011319551712562,0.5481544859336483,0.5069129560021723,0.38777006390681423,0.6907017081255572,0.22604849948194236,0.2270486144716346,0.32210598645170607,3.3636757610315726,621
5,Heat pumps and heating systems,technical_subject,5,2965,0.069858398322456,0.062487382998642385,0.0073710153238136095,0.48582014014847935,0.45385653624825784,0.35518976976922545,0.5858526038343436,0.22458597941268682,0.20396343264077943,0.2612341607357926,4.063130030836833,363
6,"Praise, gratitude and social endorsement",social_interaction,5,3750,0.08835379214475886,0.0819282466732102,0.006425545471548652,0.525390999919965,0.49416688363260947,0.37817336108434174,0.6469523726189333,0.22112162415692782,0.23447216560732279,0.30426937576303703,3.647417598033905,590
7,"Alternative methods, challenges and ""why"" questions",knowledge_sharing_behaviour,4,1754,0.04132601371250854,0.048420925947161346,-0.007094912234652806,0.5566724732594104,0.5257121135734864,0.38800405036200747,0.7100716991954668,0.2257020301563275,0.20079333152931594,0.33097044310308293,3.147703982888,523
8,"Solar PV, batteries and power systems",technical_subject,5,3400,0.08010743821124802,0.07328805565672968,0.006819382554518347,0.5454871440452955,0.515140061861834,0.3948195102360812,0.6841392025449359,0.20977124500277,0.26811318297937536,0.3357158990425256,3.534934595047517,424
9,Performance checking and troubleshooting,knowledge_sharing_behaviour,4,2435,0.05737106236599675,0.05794001945015115,-0.0005689570841544006,0.4792139914007196,0.43864290819117485,0.3386809844962603,0.5847480896634283,0.24108188600236413,0.1436211575771355,0.23813210539835541,3.878520229895642,619
10,"Implementation follow-up, outcomes and retrospective questions",knowledge_sharing_behaviour,3,1714,0.04038357326296445,0.03721769789779627,0.003165875365168179,0.46787095956992125,0.44263257058435307,0.34778599105811,0.5457786998314835,0.2586431243222375,0.1252081651807472,0.20922783524768374,3.8789360847813996,497
11,"Product sourcing, access and location questions",knowledge_sharing_behaviour,4,1043,0.024574134721862262,0.02619252067859029,-0.0016183859567280266,0.5174296267897297,0.45734561803196466,0.34255834529962104,0.6358825660340424,0.23507183459455588,0.12479242440472349,0.2823577921951739,3.620978813060244,435
12,Roof and attic ventilation and airflow,technical_subject,5,4057,0.09558702259500977,0.08557022219830866,0.010016800396701109,0.4868768233753449,0.4574270261994834,0.35149761310791433,0.5932476238084589,0.22762778489337757,0.19267803179923282,0.25924903848196734,4.016503074318939,509
13,"Wall, cavity and floor insulation",technical_subject,5,3275,0.07716231180642273,0.07696818734626013,0.00019412446016260632,0.5011967013767767,0.4671562681569186,0.3511288271884171,0.6121220563753815,0.22129473076491954,0.19814692758709984,0.27990197061185723,3.9900476341992084,442
14,Thermostat wiring and smart heating controls,technical_subject,5,1843,0.043422943712744154,0.04783510419760705,-0.004412160484862898,0.5126635425206865,0.4854488487581354,0.36563544441005724,0.619613473704391,0.22272972016308376,0.2144643189865928,0.2899338223576027,3.7237289884255613,319
15,Vapour barriers and moisture control,technical_subject,5,1600,0.03769761798176378,0.039420569685718616,-0.0017229517039548392,0.4938205201913722,0.46270676483550366,0.3417807589021261,0.6152654002146798,0.20900469547069744,0.21952971393121767,0.2848158247206747,4.037591970259285,278
16,"Prospective choices, recommendations and alternatives",knowledge_sharing_behaviour,3,2691,0.06340268124307895,0.06849756900287626,-0.005094887759797315,0.4593848809575968,0.4300922694586539,0.3419393362672426,0.5464770317567309,0.2437916900662621,0.13802613923051973,0.21559319089133477,4.19963597330119,570
