grouping_variable,group,videos,topic_number,topic_label,mean_video_relative_weight,median_video_relative_weight,dominant_video_count,dominant_video_share
creator_type,builder_contractor,172,1,Situated household retrofit experience and building context,0.1371394325481009,0.11421764981272164,32,0.18604651162790697
creator_type,builder_contractor,172,2,Spray foam and foam insulation,0.04825447439049793,0.011639511163173608,11,0.06395348837209303
creator_type,builder_contractor,172,3,Clarification and specification questions,0.08019346340907275,0.05369823351913637,10,0.05813953488372093
creator_type,builder_contractor,172,4,"Implementation, cost and how-to questions",0.05131331496767328,0.03311035759395091,6,0.03488372093023256
creator_type,builder_contractor,172,5,Heat pumps and heating systems,0.028258329204810716,0.008231465592430343,3,0.01744186046511628
creator_type,builder_contractor,172,6,"Praise, gratitude and social endorsement",0.06296689648467485,0.0410496200862608,8,0.046511627906976744
creator_type,builder_contractor,172,7,"Alternative methods, challenges and ""why"" questions",0.05721151054283993,0.0322843126564141,6,0.03488372093023256
creator_type,builder_contractor,172,8,"Solar PV, batteries and power systems",0.036822732124661375,0.017365348386295144,3,0.01744186046511628
creator_type,builder_contractor,172,9,Performance checking and troubleshooting,0.04901137380385465,0.037596884640887396,2,0.011627906976744186
creator_type,builder_contractor,172,10,"Implementation follow-up, outcomes and retrospective questions",0.03904119825259173,0.02100156856687698,6,0.03488372093023256
creator_type,builder_contractor,172,11,"Product sourcing, access and location questions",0.04391843902728072,0.013576867401928606,7,0.040697674418604654
creator_type,builder_contractor,172,12,Roof and attic ventilation and airflow,0.09701637523509792,0.05283270795441222,30,0.1744186046511628
creator_type,builder_contractor,172,13,"Wall, cavity and floor insulation",0.13271364176213338,0.0950990059603152,36,0.20930232558139536
creator_type,builder_contractor,172,14,Thermostat wiring and smart heating controls,0.016986689540429586,0.007348773853989854,2,0.011627906976744186
creator_type,builder_contractor,172,15,Vapour barriers and moisture control,0.05591214694400139,0.03414993883798742,5,0.029069767441860465
creator_type,builder_contractor,172,16,"Prospective choices, recommendations and alternatives",0.06323998176227894,0.05062497071245564,5,0.029069767441860465
creator_type,diy_renovator_homeowner,276,1,Situated household retrofit experience and building context,0.1312043435733761,0.11761747344025705,56,0.2028985507246377
creator_type,diy_renovator_homeowner,276,2,Spray foam and foam insulation,0.03735935118547844,0.008740232872806855,11,0.03985507246376811
creator_type,diy_renovator_homeowner,276,3,Clarification and specification questions,0.08199138707478208,0.05476143897211958,25,0.09057971014492754
creator_type,diy_renovator_homeowner,276,4,"Implementation, cost and how-to questions",0.06144130209948365,0.04671659093725254,13,0.04710144927536232
creator_type,diy_renovator_homeowner,276,5,Heat pumps and heating systems,0.035325453253310025,0.012214048096631831,13,0.04710144927536232
creator_type,diy_renovator_homeowner,276,6,"Praise, gratitude and social endorsement",0.0804086954831311,0.0643629660665424,19,0.06884057971014493
creator_type,diy_renovator_homeowner,276,7,"Alternative methods, challenges and ""why"" questions",0.04888211339983281,0.035402234755295615,2,0.007246376811594203
creator_type,diy_renovator_homeowner,276,8,"Solar PV, batteries and power systems",0.051331455595809636,0.021800102364524513,16,0.057971014492753624
creator_type,diy_renovator_homeowner,276,9,Performance checking and troubleshooting,0.062331690089375065,0.046462536445536065,10,0.036231884057971016
creator_type,diy_renovator_homeowner,276,10,"Implementation follow-up, outcomes and retrospective questions",0.05771825710012737,0.03620508290464945,12,0.043478260869565216
creator_type,diy_renovator_homeowner,276,11,"Product sourcing, access and location questions",0.03499588912962651,0.01679911963016331,5,0.018115942028985508
creator_type,diy_renovator_homeowner,276,12,Roof and attic ventilation and airflow,0.09390478602870432,0.05648791110663841,31,0.11231884057971014
creator_type,diy_renovator_homeowner,276,13,"Wall, cavity and floor insulation",0.08521935491229986,0.04619780242622075,40,0.14492753623188406
creator_type,diy_renovator_homeowner,276,14,Thermostat wiring and smart heating controls,0.032944282281524774,0.013915102637470034,9,0.03260869565217391
