topic_number,topic_label,rank,video_id,summed_comment_relative_weight,share_of_topic_total_weight,modelled_comment_count,mean_video_relative_weight
1,Situated household retrofit experience and building context,1,3zUMOblSJ60,89.9587343128371,0.015121348703920632,314,0.2864927844357869
1,Situated household retrofit experience and building context,2,HCo8nWzfFVc,81.67197983635316,0.01372841109736287,318,0.2568301252715508
1,Situated household retrofit experience and building context,3,qyZm66j8QU4,81.17748775492392,0.013645290906180368,279,0.29095873747284556
1,Situated household retrofit experience and building context,4,kGs_biFA87Q,74.86915512204855,0.012584910297107949,355,0.21089902851281284
1,Situated household retrofit experience and building context,5,H51FYrDR5xs,73.9827858086459,0.012435918655876024,291,0.2542363773492986
1,Situated household retrofit experience and building context,6,bPe_b87qVUY,69.95250210272948,0.011758459977089398,269,0.2600464762183252
1,Situated household retrofit experience and building context,7,AN4_mkEfDPE,64.95750213266217,0.010918840156952794,240,0.2706562588860924
1,Situated household retrofit experience and building context,8,QWkP4P7lUMA,63.05268504217693,0.010598655533831606,211,0.29882789119515135
1,Situated household retrofit experience and building context,9,zmYtFOSPx2o,61.703740462267334,0.01037190866449325,357,0.17283960913800372
1,Situated household retrofit experience and building context,10,HkHozg0ckWY,59.99988412074489,0.010085503947059704,312,0.19230732089982336
1,Situated household retrofit experience and building context,11,tyTT9jNfnc8,59.53569799768821,0.01000747794676215,269,0.2213222973891755
1,Situated household retrofit experience and building context,12,KxHcu7JvZwk,57.40391357795148,0.009649141918374696,228,0.25177155078048896
1,Situated household retrofit experience and building context,13,Q3Oufer38ow,55.41145059771518,0.009314224717349709,190,0.29163921367218515
1,Situated household retrofit experience and building context,14,GhAKMAcmJFg,54.10165485764132,0.009094058457032057,310,0.17452146728271395
1,Situated household retrofit experience and building context,15,irytqcJZSps,52.83119849858776,0.00888050483419478,349,0.15137879225956377
1,Situated household retrofit experience and building context,16,QGrCOzSLBSU,51.31243750868692,0.008625213175173238,245,0.20943852044362007
1,Situated household retrofit experience and building context,17,qNQafR_5ALk,49.19938899462874,0.00827002650371275,160,0.30749618121642963
1,Situated household retrofit experience and building context,18,jYNufQVIFfA,46.4981781491253,0.007815974416056365,393,0.11831597493416107
1,Situated household retrofit experience and building context,19,wN34zF7e4J8,46.06436367188887,0.007743053648181965,182,0.2531008992960927
1,Situated household retrofit experience and building context,20,7NsZ2d2Oups,45.777167758885376,0.007694778296377166,273,0.1676819331827303
2,Spray foam and foam insulation,1,tUWJTF9nyaQ,137.70743612191526,0.09488746444747215,370,0.3721822597889602
2,Spray foam and foam insulation,2,jYNufQVIFfA,119.4434412156497,0.08230263812187849,393,0.303927331337531
2,Spray foam and foam insulation,3,ZAZWYBFipmI,96.05441833538049,0.06618640548032496,231,0.41581999279385495
2,Spray foam and foam insulation,4,UUalCAU4W8g,47.80861106024576,0.032942577467246506,217,0.22031618000113254
2,Spray foam and foam insulation,5,35kJvNW81pU,37.277342131553254,0.02568599471325935,234,0.15930488090407374
2,Spray foam and foam insulation,6,9OFpzKn0cq4,36.154865972650434,0.024912551247746478,118,0.3063971692597494
2,Spray foam and foam insulation,7,QS16O9aYfq4,35.34915030195509,0.02435737195452232,128,0.27616523673402416
2,Spray foam and foam insulation,8,Rw5np777JDc,30.132310293542755,0.020762702452520043,103,0.29254670187905585
2,Spray foam and foam insulation,9,ZInm0mt0pXQ,25.822858790639422,0.01779327002544453,159,0.16240791692226053
2,Spray foam and foam insulation,10,Genu_Plnp2M,25.212251890520744,0.017372530651028336,89,0.28328372910697464
2,Spray foam and foam insulation,11,ZLKPLqBI6Ow,25.072323911621556,0.01727611311907132,248,0.10109808028879659
