topic_number,topic_label,videos_with_positive_weight,largest_video_share_of_topic_weight,top_5_video_share_of_topic_weight,top_10_video_share_of_topic_weight,top_20_video_share_of_topic_weight
1,Situated household retrofit experience and building context,1109,0.015121348703920632,0.06751587966044784,0.1212492479398746,0.20834370185308945
2,Spray foam and foam insulation,967,0.09488746444747215,0.3020050802301814,0.4072035065614431,0.5349183632064421
3,Clarification and specification questions,1055,0.013653423067305938,0.04734276683388201,0.08493125933235464,0.15155370762681158
4,"Implementation, cost and how-to questions",1004,0.011164856014310458,0.0495726626304059,0.08845141518358046,0.15040893072215197
5,Heat pumps and heating systems,964,0.03866932568132986,0.146741905534579,0.22901185645428238,0.34181584949515076
6,"Praise, gratitude and social endorsement",1021,0.01836999896904872,0.07240642155896314,0.12725875628790156,0.21593005294103174
7,"Alternative methods, challenges and ""why"" questions",987,0.01592574621971257,0.05865161369732312,0.09916772573329702,0.16700716278814676
8,"Solar PV, batteries and power systems",1003,0.029041789317020145,0.1331480468585649,0.24040505527250158,0.39758596033095084
9,Performance checking and troubleshooting,996,0.011067721671433684,0.04835268595261715,0.08881246378687649,0.15473499680519195
10,"Implementation follow-up, outcomes and retrospective questions",1005,0.01620869900822495,0.06664663330715273,0.11173581118679524,0.18370910227292497
11,"Product sourcing, access and location questions",990,0.012960034273642354,0.05739929968092415,0.10050249772532402,0.16690212370034815
12,Roof and attic ventilation and airflow,998,0.02991760248953052,0.11201085816508004,0.18702823352832654,0.29401294268134437
13,"Wall, cavity and floor insulation",1010,0.03572140485525628,0.11871380226483796,0.19794380316621452,0.3266039909606891
14,Thermostat wiring and smart heating controls,1006,0.0399862693405127,0.14648053613279155,0.23282327880748702,0.34759591865177036
15,Vapour barriers and moisture control,984,0.029122178195703913,0.12603124290946308,0.2155403219583675,0.33866312407465843
16,"Prospective choices, recommendations and alternatives",1016,0.011669530759531319,0.050507846059021956,0.09375567571251361,0.1656774294064139
