video_id,topic_01_relative_weight,topic_02_relative_weight,topic_03_relative_weight,topic_04_relative_weight,topic_05_relative_weight,topic_06_relative_weight,topic_07_relative_weight,topic_08_relative_weight,topic_09_relative_weight,topic_10_relative_weight,topic_11_relative_weight,topic_12_relative_weight,topic_13_relative_weight,topic_14_relative_weight,topic_15_relative_weight,topic_16_relative_weight,modelled_comment_count,dominant_topic_number,secondary_topic_number,dominant_topic_label,dominant_relative_weight,secondary_relative_weight,dominance_margin,effective_topic_count,creator_type,video_type,_video_publication_date,publication_year
-0vb6-7lOWw,0.04334553077546634,0.003955949540504509,0.11319901345426345,0.21811158776745085,0.004834640263114216,0.006551143921074761,0.021490261227475344,0.2563378287751608,0.1594904004890446,0.021588628751946715,0.0004113451459405055,0.07367610534390505,0.000934243199748748,0.006894557522989553,0.026218779708095778,0.042959984113818746,11,8,4,"Solar PV, batteries and power systems",0.2563378287751608,0.21811158776745085,0.038226241007709966,7.9195169141305115,installer_tradesperson,how_to_installation_demo,2024-12-09 09:16:23+00:00,2024
-2o5S8zfOVg,0.1987914110511016,0.05126268078265037,0.1357020064055701,0.037699435542599226,0.03201605993296263,0.06134049149936675,0.04956359960165315,0.027031692203449673,0.036215972749026305,0.0800977152998972,0.023008103484352043,0.14549778424190518,0.008754328465000275,0.017047769635036836,0.004147482979008397,0.09182346612642028,87,1,12,Situated household retrofit experience and building context,0.1987914110511016,0.14549778424190518,0.053293626809196415,11.456014753827308,diy_renovator_homeowner,how_to_installation_demo,2023-06-02 13:00:00+00:00,2023
-H_ZQyxef_w,0.259334982161829,0.05360955900244886,0.005225917687842153,0.058554353762705486,0.0,0.0,0.0,0.0,0.0,0.0,0.09079991733726883,0.0,0.3861848752389678,0.0,0.14629039480893793,0.0,1,13,1,"Wall, cavity and floor insulation",0.3861848752389678,0.259334982161829,0.1268498930771388,4.792042235738991,installer_tradesperson,how_to_installation_demo,2023-02-01 21:46:58+00:00,2023
-JM1bVBwzsw,0.08925753575777341,0.00046362136282276147,0.016747868987519024,0.06417496233350792,0.0,0.01481235151239968,0.04243524739845813,0.5791617753318145,0.07529648110667665,0.0030345041213074493,0.002787681712293132,0.07854604182028978,0.0014989918278999256,0.020431697561584358,0.0021220467219334876,0.009229192443719881,6,8,1,"Solar PV, batteries and power systems",0.5791617753318145,0.08925753575777341,0.48990423957404106,4.715507494044775,installer_tradesperson,how_to_installation_demo,2025-09-19 10:56:43+00:00,2025
-OPjbjcthCA,0.01537045752529596,0.0,0.2708587892773217,0.13613412213939063,0.0,0.08561846396603627,0.014547325415545884,0.0,0.0,0.0,0.001261261169382223,0.007586983009055598,0.0,0.4680872404283248,0.0005353570696469849,0.0,2,14,3,Thermostat wiring and smart heating controls,0.4680872404283248,0.2708587892773217,0.19722845115100307,3.9204946866667547,installer_tradesperson,how_to_installation_demo,2023-09-13 16:30:01+00:00,2023
-VJQLcU_YjU,0.10404873177503368,0.0048078922531856125,0.07256052283938141,0.03924975149060437,0.3249276983709351,0.09028715417978511,0.03778232851607043,0.042348609824057755,0.038289225131941156,0.00774489104598773,0.046985327081170876,0.01667491806077413,0.05516321564099752,0.030021818439407353,0.016174960705261306,0.07293295464540647,31,5,1,Heat pumps and heating systems,0.3249276983709351,0.10404873177503368,0.22087896659590142,10.133669414353122,training_educational,practical_advice_explainer,2022-02-06 18:00:12+00:00,2022
-Y0qNAhj4ik,0.30917733114772294,0.003326197003123256,0.025033761227218433,0.07070126053664928,0.052031903556689726,0.006583401701815298,0.04060320466576213,0.17194302801750797,0.06324249695584927,0.03413738220812011,0.004296646731549422,0.0,0.0,0.10658602335293463,0.0,0.11233736289505754,5,1,8,Situated household retrofit experience and building context,0.30917733114772294,0.17194302801750797,0.13723430313021498,7.9943725590322,installer_tradesperson,practical_advice_explainer,2023-04-30 21:00:00+00:00,2023
-k4kTEE3bS4,0.028699286181477993,0.0018380766418887185,0.3178323379902321,0.0,0.04427306944104314,0.000947275941731551,0.0,0.006799924132076834,0.23415495600734781,0.00018318514987612558,0.011977374444136484,0.145048231981997,0.009124091149945704,0.0,0.02088713118305495,0.17823505975519158,3,3,9,Clarification and specification questions,0.3178323379902321,0.23415495600734781,0.08367738198288427,5.8237906835060524,installer_tradesperson,how_to_installation_demo,2023-05-31 17:14:20+00:00,2023
-l7CAxBeJ50,0.15360914779435253,0.00151776696123017,0.12092724998677115,0.18449567499626024,0.028506888227081348,0.07706552226547202,0.03561081273553909,0.14504628677104237,0.0874481834951514,0.050100355138104735,0.009764719632038713,0.014302984746013962,0.008063694832556027,0.04143616490667907,0.003622254316274828,0.03848229319543233,15,4,1,"Implementation, cost and how-to questions",0.18449567499626024,0.15360914779435253,0.03088652720190771,10.466486407775319,installer_tradesperson,how_to_installation_demo,2022-02-18 21:00:01+00:00,2022
-myHxDsrVqs,0.15378895827557928,0.0051713549538272814,0.000312684928493349,0.011236317361011865,0.18948155122718824,0.003696467155742905,0.014483251711526902,0.014163854268273712,0.0,0.005608743381683666,0.006965759718060403,0.38310355471215707,0.09502905136712023,0.00755203128832967,0.047354173438704114,0.06205224621230135,4,12,5,Roof and attic ventilation and airflow,0.38310355471215707,0.18948155122718824,0.19362200348496883,6.261075511847588,builder_contractor,problem_warning_mistakes,2025-01-23 20:00:25+00:00,2025
