topic_number,topic_label,topic_type,dominant_video_count,dominant_video_share,mean_video_relative_weight,median_video_relative_weight,q25_video_relative_weight,q75_video_relative_weight
1,Situated household retrofit experience and building context,mixed,200,0.17271157167530224,0.13025388073052654,0.11483394944413557,0.0678140801901588,0.1689489988266701
2,Spray foam and foam insulation,technical_subject,31,0.02677029360967185,0.02705090739803025,0.005572765369654307,0.0013833945560901195,0.019644999755845213
3,Clarification and specification questions,knowledge_sharing_behaviour,82,0.07081174438687392,0.0794242474140818,0.05449715673359508,0.015960236945254187,0.09919543132254215
4,"Implementation, cost and how-to questions",knowledge_sharing_behaviour,60,0.05181347150259067,0.06750857808446788,0.04259734219077922,0.007575182231624761,0.07899413630145696
5,Heat pumps and heating systems,technical_subject,105,0.09067357512953368,0.05623631022250098,0.01682757571771743,0.0028485396641972794,0.06066063798407508
6,"Praise, gratitude and social endorsement",social_interaction,68,0.05872193436960276,0.07449699362645056,0.05237208673585156,0.0160432668621648,0.10823483762424094
7,"Alternative methods, challenges and ""why"" questions",knowledge_sharing_behaviour,25,0.02158894645941278,0.052765388638373475,0.03555815319938399,0.013390625025757389,0.06578449409248756
8,"Solar PV, batteries and power systems",technical_subject,92,0.07944732297063903,0.06572460710660688,0.025753734047794952,0.009584026796807296,0.06398808733108466
9,Performance checking and troubleshooting,knowledge_sharing_behaviour,34,0.02936096718480138,0.062346395917415386,0.04753437760558063,0.021393335062046336,0.07806742997548251
10,"Implementation follow-up, outcomes and retrospective questions",knowledge_sharing_behaviour,27,0.023316062176165803,0.03978485199291278,0.021981205336391408,0.005772108285180229,0.048795836416675106
11,"Product sourcing, access and location questions",knowledge_sharing_behaviour,23,0.019861830742659757,0.03340999608344476,0.014552434161324861,0.0025247527585300564,0.03234393067027948
12,Roof and attic ventilation and airflow,technical_subject,116,0.1001727115716753,0.07727736071512811,0.03783995256572176,0.010067966689216239,0.10151356934489322
13,"Wall, cavity and floor insulation",technical_subject,147,0.12694300518134716,0.07757982735186324,0.02780099363530824,0.006842802218455101,0.10982954394802716
14,Thermostat wiring and smart heating controls,technical_subject,96,0.08290155440414508,0.05600888667596912,0.016405576426999836,0.0059600283608397114,0.04850984239778361
15,Vapour barriers and moisture control,technical_subject,27,0.023316062176165803,0.0349725937947934,0.014866455792735673,0.004579842584214965,0.03899313280168066
16,"Prospective choices, recommendations and alternatives",knowledge_sharing_behaviour,25,0.02158894645941278,0.06515917424743478,0.05248698349816957,0.01724305425844458,0.08408943406778226
