topic_number,topic_label,topic_type,dominant_video_count,metric,metric_family,valid_n,median,q25,q75
1,Situated household retrofit experience and building context,mixed,200,duration_minutes,video_context,200,2.325,0.6625,8.525
1,Situated household retrofit experience and building context,mixed,200,view_count,reach,200,89071.5,18755.5,238402.0
1,Situated household retrofit experience and building context,mixed,200,like_count,reach,200,978.0,170.0,3159.75
1,Situated household retrofit experience and building context,mixed,200,api_comment_count,discussion_volume,200,67.5,17.0,221.5
1,Situated household retrofit experience and building context,mixed,200,likes_per_1000_views,engagement_rate,200,11.396158451568045,7.733204927848775,17.804219504767218
1,Situated household retrofit experience and building context,mixed,200,api_comments_per_1000_views,discussion_rate,200,0.8547270717921047,0.3284920604516246,2.025494657553152
1,Situated household retrofit experience and building context,mixed,200,views_per_day,age_normalised_provisional,200,100.51010632698178,25.401592596702454,278.3575522804362
1,Situated household retrofit experience and building context,mixed,200,api_comments_per_day,age_normalised_provisional,200,0.06736322188449845,0.02196952262206825,0.2411159869870343
2,Spray foam and foam insulation,technical_subject,31,duration_minutes,video_context,31,1.2666666666666666,0.35,5.558333333333334
2,Spray foam and foam insulation,technical_subject,31,view_count,reach,31,75797.0,29441.5,490837.0
2,Spray foam and foam insulation,technical_subject,31,like_count,reach,31,785.0,251.0,3191.0
2,Spray foam and foam insulation,technical_subject,31,api_comment_count,discussion_volume,31,90.0,15.5,356.5
2,Spray foam and foam insulation,technical_subject,31,likes_per_1000_views,engagement_rate,31,11.03144198246704,5.714945405852983,15.32461960974123
2,Spray foam and foam insulation,technical_subject,31,api_comments_per_1000_views,discussion_rate,31,0.7347835640518566,0.38941687242065715,1.3409476446446937
2,Spray foam and foam insulation,technical_subject,31,views_per_day,age_normalised_provisional,31,180.79285714285717,35.315829730275254,701.7586308043515
2,Spray foam and foam insulation,technical_subject,31,api_comments_per_day,age_normalised_provisional,31,0.0900243309002433,0.031090549857927002,0.4375144375144375
3,Clarification and specification questions,knowledge_sharing_behaviour,82,duration_minutes,video_context,82,0.775,0.35,2.316666666666667
3,Clarification and specification questions,knowledge_sharing_behaviour,82,view_count,reach,82,69820.5,19515.75,160050.0
3,Clarification and specification questions,knowledge_sharing_behaviour,82,like_count,reach,82,492.5,120.25,1395.5
