video_id,topic_01_relative_weight,topic_02_relative_weight,topic_03_relative_weight,topic_04_relative_weight,topic_05_relative_weight,topic_06_relative_weight,topic_07_relative_weight,topic_08_relative_weight,topic_09_relative_weight,topic_10_relative_weight,topic_11_relative_weight,topic_12_relative_weight,topic_13_relative_weight,topic_14_relative_weight,topic_15_relative_weight,topic_16_relative_weight,modelled_comment_count,dominant_topic_number,secondary_topic_number,dominant_topic_label,dominant_relative_weight,secondary_relative_weight,dominance_margin,effective_topic_count,creator_type,video_type,_video_publication_date,publication_year,duration_minutes,view_count,like_count,api_comment_count,likes_per_1000_views,api_comments_per_1000_views,views_per_day,api_comments_per_day
-0vb6-7lOWw,0.0433455307754663,0.0039559495405045,0.1131990134542634,0.2181115877674508,0.0048346402631142,0.0065511439210747,0.0214902612274753,0.2563378287751608,0.1594904004890446,0.0215886287519467,0.0004113451459405,0.073676105343905,0.0009342431997487,0.0068945575229895,0.0262187797080957,0.0429599841138187,11,8,4,"Solar PV, batteries and power systems",0.2563378287751608,0.2181115877674508,0.0382262410077099,7.919516914130511,installer_tradesperson,how_to_installation_demo,2024-12-09 09:16:23+00:00,2024,0.3166666666666666,1540464,12149,101,7.886584821196731,0.065564661037194,2606.5380710659897,0.170896785109983
-2o5S8zfOVg,0.1987914110511016,0.0512626807826503,0.1357020064055701,0.0376994355425992,0.0320160599329626,0.0613404914993667,0.0495635996016531,0.0270316922034496,0.0362159727490263,0.0800977152998972,0.023008103484352,0.1454977842419051,0.0087543284650002,0.0170477696350368,0.0041474829790083,0.0918234661264202,87,1,12,Situated household retrofit experience and building context,0.1987914110511016,0.1454977842419051,0.0532936268091964,11.456014753827308,diy_renovator_homeowner,how_to_installation_demo,2023-06-02 13:00:00+00:00,2023,6.083333333333333,80386,666,249,8.28502475555445,3.097554300500087,70.08369659982563,0.2170880557977332
-H_ZQyxef_w,0.259334982161829,0.0536095590024488,0.0052259176878421,0.0585543537627054,0.0,0.0,0.0,0.0,0.0,0.0,0.0907999173372688,0.0,0.3861848752389678,0.0,0.1462903948089379,0.0,1,13,1,"Wall, cavity and floor insulation",0.3861848752389678,0.259334982161829,0.1268498930771388,4.792042235738991,installer_tradesperson,how_to_installation_demo,2023-02-01 21:46:58+00:00,2023,0.25,114872,539,10,4.692179121108712,0.0870534159760429,90.59305993690852,0.0078864353312302
-JM1bVBwzsw,0.0892575357577734,0.0004636213628227,0.016747868987519,0.0641749623335079,0.0,0.0148123515123996,0.0424352473984581,0.5791617753318145,0.0752964811066766,0.0030345041213074,0.0027876817122931,0.0785460418202897,0.0014989918278999,0.0204316975615843,0.0021220467219334,0.0092291924437198,6,8,1,"Solar PV, batteries and power systems",0.5791617753318145,0.0892575357577734,0.489904239574041,4.715507494044775,installer_tradesperson,how_to_installation_demo,2025-09-19 10:56:43+00:00,2025,24.53333333333333,7149,98,20,13.70821093859281,2.7975940691005734,23.286644951140065,0.0651465798045602
-OPjbjcthCA,0.0153704575252959,0.0,0.2708587892773217,0.1361341221393906,0.0,0.0856184639660362,0.0145473254155458,0.0,0.0,0.0,0.0012612611693822,0.0075869830090555,0.0,0.4680872404283248,0.0005353570696469,0.0,2,14,3,Thermostat wiring and smart heating controls,0.4680872404283248,0.2708587892773217,0.197228451151003,3.9204946866667543,installer_tradesperson,how_to_installation_demo,2023-09-13 16:30:01+00:00,2023,0.4166666666666667,65734,274,15,4.168314722974412,0.2281924118416649,62.96360153256705,0.014367816091954
-VJQLcU_YjU,0.1040487317750336,0.0048078922531856,0.0725605228393814,0.0392497514906043,0.3249276983709351,0.0902871541797851,0.0377823285160704,0.0423486098240577,0.0382892251319411,0.0077448910459877,0.0469853270811708,0.0166749180607741,0.0551632156409975,0.0300218184394073,0.0161749607052613,0.0729329546454064,31,5,1,Heat pumps and heating systems,0.3249276983709351,0.1040487317750336,0.2208789665959014,10.133669414353122,training_educational,practical_advice_explainer,2022-02-06 18:00:12+00:00,2022,4.783333333333333,53621,940,86,17.53044516141064,1.6038492381716118,32.936732186732186,0.0528255528255528
-Y0qNAhj4ik,0.3091773311477229,0.0033261970031232,0.0250337612272184,0.0707012605366492,0.0520319035566897,0.0065834017018152,0.0406032046657621,0.1719430280175079,0.0632424969558492,0.0341373822081201,0.0042966467315494,0.0,0.0,0.1065860233529346,0.0,0.1123373628950575,5,1,8,Situated household retrofit experience and building context,0.3091773311477229,0.1719430280175079,0.1372343031302149,7.9943725590322,installer_tradesperson,practical_advice_explainer,2023-04-30 21:00:00+00:00,2023,0.8333333333333334,20202,203,17,10.048510048510048,0.8415008415008415,17.120338983050846,0.0144067796610169
-k4kTEE3bS4,0.0286992861814779,0.0018380766418887,0.3178323379902321,0.0,0.0442730694410431,0.0009472759417315,0.0,0.0067999241320768,0.2341549560073478,0.0001831851498761,0.0119773744441364,0.145048231981997,0.0091240911499457,0.0,0.0208871311830549,0.1782350597551915,3,3,9,Clarification and specification questions,0.3178323379902321,0.2341549560073478,0.0836773819828842,5.8237906835060524,installer_tradesperson,how_to_installation_demo,2023-05-31 17:14:20+00:00,2023,0.2666666666666666,101601,439,12,4.320823613940807,0.1181090737295892,88.42558746736293,0.010443864229765
-l7CAxBeJ50,0.1536091477943525,0.0015177669612301,0.1209272499867711,0.1844956749962602,0.0285068882270813,0.077065522265472,0.035610812735539,0.1450462867710423,0.0874481834951514,0.0501003551381047,0.0097647196320387,0.0143029847460139,0.008063694832556,0.041436164906679,0.0036222543162748,0.0384822931954323,15,4,1,"Implementation, cost and how-to questions",0.1844956749962602,0.1536091477943525,0.0308865272019077,10.46648640777532,installer_tradesperson,how_to_installation_demo,2022-02-18 21:00:01+00:00,2022,7.983333333333333,31398,396,47,12.61226829734378,1.496910631250398,19.429455445544555,0.0290841584158415
-myHxDsrVqs,0.1537889582755792,0.0051713549538272,0.0003126849284933,0.0112363173610118,0.1894815512271882,0.0036964671557429,0.0144832517115269,0.0141638542682737,0.0,0.0056087433816836,0.0069657597180604,0.383103554712157,0.0950290513671202,0.0075520312883296,0.0473541734387041,0.0620522462123013,4,12,5,Roof and attic ventilation and airflow,0.383103554712157,0.1894815512271882,0.1936220034849688,6.261075511847588,builder_contractor,problem_warning_mistakes,2025-01-23 20:00:25+00:00,2025,0.4166666666666667,8717,41,20,4.703453022828954,2.2943673282092463,15.965201465201464,0.0366300366300366
