minimum_modelled_comments,eligible_videos,topic_number,topic_label,topic_type,metric,metric_family,valid_n,spearman_rho,p_value_raw,p_value_bh_fdr
1,1158,1,Situated household retrofit experience and building context,mixed,duration_minutes,video_context,1158,0.07524843324557515,0.010421349740519946,0.016674159584831913
1,1158,1,Situated household retrofit experience and building context,mixed,view_count,reach,1158,0.11334708701159746,0.00011089333429602989,0.00014785777906137318
1,1158,1,Situated household retrofit experience and building context,mixed,like_count,reach,1158,0.16704088686962965,1.0754186486592937e-08,1.22904988418205e-08
1,1158,1,Situated household retrofit experience and building context,mixed,api_comment_count,discussion_volume,1158,0.21213642422160978,3.0032201721727884e-13,3.203434850317641e-13
1,1158,1,Situated household retrofit experience and building context,mixed,likes_per_1000_views,engagement_rate,1158,0.19138630237977003,5.1505543945603864e-11,1.6481774062593237e-10
1,1158,1,Situated household retrofit experience and building context,mixed,api_comments_per_1000_views,discussion_rate,1158,0.1333538010255896,5.2785813746766406e-06,2.1114325498706562e-05
1,1158,1,Situated household retrofit experience and building context,mixed,views_per_day,age_normalised_provisional,1158,0.1438297135223679,8.89060519373685e-07,1.2931789372708145e-06
1,1158,1,Situated household retrofit experience and building context,mixed,api_comments_per_day,age_normalised_provisional,1158,0.23294620446204412,9.813774201853526e-16,1.2078491325358185e-15
1,1158,2,Spray foam and foam insulation,technical_subject,duration_minutes,video_context,1158,0.010203755208451808,0.7286952310523641,0.7772749131225217
1,1158,2,Spray foam and foam insulation,technical_subject,view_count,reach,1158,0.30921042973344354,4.46639445749002e-27,2.3820770439946775e-26
1,1158,2,Spray foam and foam insulation,technical_subject,like_count,reach,1158,0.31187414491509224,1.5370298342660686e-27,8.197492449419032e-27
1,1158,2,Spray foam and foam insulation,technical_subject,api_comment_count,discussion_volume,1158,0.3019277931948275,7.806028897462662e-26,2.081607705990043e-25
1,1158,2,Spray foam and foam insulation,technical_subject,likes_per_1000_views,engagement_rate,1158,0.08281270361801138,0.004804344522037105,0.006988137486599425
1,1158,2,Spray foam and foam insulation,technical_subject,api_comments_per_1000_views,discussion_rate,1158,-0.08290614405309293,0.004756759477500413,0.00761081516400066
1,1158,2,Spray foam and foam insulation,technical_subject,views_per_day,age_normalised_provisional,1158,0.31884141084757167,8.960430914038457e-29,1.433668946246153e-27
1,1158,2,Spray foam and foam insulation,technical_subject,api_comments_per_day,age_normalised_provisional,1158,0.2910986593636815,4.737051580012908e-24,1.5158565056041307e-23
1,1158,3,Clarification and specification questions,knowledge_sharing_behaviour,duration_minutes,video_context,1158,-0.00719103212980809,0.8068858968016048,0.8068858968016048
1,1158,3,Clarification and specification questions,knowledge_sharing_behaviour,view_count,reach,1158,0.2783096965645725,4.829924010139596e-22,1.9319696040558384e-21
1,1158,3,Clarification and specification questions,knowledge_sharing_behaviour,like_count,reach,1158,0.2590305871363612,3.292168917141875e-19,1.0534940534854e-18
