comments_sampled_per_video,repetition,seed,eligible_videos,topic_number,topic_label,metric,spearman_rho
10,1,21260829,591,1,Situated household retrofit experience and building context,duration_minutes,-0.026602909757447533
10,1,21260829,591,1,Situated household retrofit experience and building context,view_count,0.0029050624228289202
10,1,21260829,591,1,Situated household retrofit experience and building context,like_count,0.06395469032010109
10,1,21260829,591,1,Situated household retrofit experience and building context,api_comment_count,0.07679086594858779
10,1,21260829,591,1,Situated household retrofit experience and building context,likes_per_1000_views,0.12272043023004559
10,1,21260829,591,1,Situated household retrofit experience and building context,api_comments_per_1000_views,0.09244833752275891
10,1,21260829,591,1,Situated household retrofit experience and building context,views_per_day,0.06208740358701642
10,1,21260829,591,1,Situated household retrofit experience and building context,api_comments_per_day,0.13559967306203216
10,1,21260829,591,2,Spray foam and foam insulation,duration_minutes,-0.21520151998593604
10,1,21260829,591,2,Spray foam and foam insulation,view_count,0.0925415807260164
10,1,21260829,591,2,Spray foam and foam insulation,like_count,0.06014980062095142
10,1,21260829,591,2,Spray foam and foam insulation,api_comment_count,-0.06542110637884416
10,1,21260829,591,2,Spray foam and foam insulation,likes_per_1000_views,-0.10890555470257002
10,1,21260829,591,2,Spray foam and foam insulation,api_comments_per_1000_views,-0.2197334902287652
10,1,21260829,591,2,Spray foam and foam insulation,views_per_day,0.1445573899146883
10,1,21260829,591,2,Spray foam and foam insulation,api_comments_per_day,-0.005836434755107157
10,1,21260829,591,3,Clarification and specification questions,duration_minutes,-0.09243275204619436
10,1,21260829,591,3,Clarification and specification questions,view_count,0.04523356016544492
10,1,21260829,591,3,Clarification and specification questions,like_count,-0.005142301974082734
10,1,21260829,591,3,Clarification and specification questions,api_comment_count,-0.039421139086091336
10,1,21260829,591,3,Clarification and specification questions,likes_per_1000_views,-0.061291299540614956
10,1,21260829,591,3,Clarification and specification questions,api_comments_per_1000_views,-0.09365171359983633
10,1,21260829,591,3,Clarification and specification questions,views_per_day,0.010396703100282047
10,1,21260829,591,3,Clarification and specification questions,api_comments_per_day,-0.05358515695791251
10,1,21260829,591,4,"Implementation, cost and how-to questions",duration_minutes,-0.04131241592842251
10,1,21260829,591,4,"Implementation, cost and how-to questions",view_count,0.05354190366327343
10,1,21260829,591,4,"Implementation, cost and how-to questions",like_count,0.04286071014054741
10,1,21260829,591,4,"Implementation, cost and how-to questions",api_comment_count,-0.03992889585453222
10,1,21260829,591,4,"Implementation, cost and how-to questions",likes_per_1000_views,-0.018668668956054436
10,1,21260829,591,4,"Implementation, cost and how-to questions",api_comments_per_1000_views,-0.1195269308675547
10,1,21260829,591,4,"Implementation, cost and how-to questions",views_per_day,0.017271855612983986
10,1,21260829,591,4,"Implementation, cost and how-to questions",api_comments_per_day,-0.07906984821924304
10,1,21260829,591,5,Heat pumps and heating systems,duration_minutes,0.1806284017523295
10,1,21260829,591,5,Heat pumps and heating systems,view_count,-0.209253847646524
10,1,21260829,591,5,Heat pumps and heating systems,like_count,-0.14024024989599618
10,1,21260829,591,5,Heat pumps and heating systems,api_comment_count,-0.006215261568547713
10,1,21260829,591,5,Heat pumps and heating systems,likes_per_1000_views,0.1442456088723306
10,1,21260829,591,5,Heat pumps and heating systems,api_comments_per_1000_views,0.26406909090662617
10,1,21260829,591,5,Heat pumps and heating systems,views_per_day,-0.17719660561478748
10,1,21260829,591,5,Heat pumps and heating systems,api_comments_per_day,0.011927646054448711
10,1,21260829,591,6,"Praise, gratitude and social endorsement",duration_minutes,0.4130166858597031
10,1,21260829,591,6,"Praise, gratitude and social endorsement",view_count,-0.19869282717573108
10,1,21260829,591,6,"Praise, gratitude and social endorsement",like_count,-0.1472300930620139
10,1,21260829,591,6,"Praise, gratitude and social endorsement",api_comment_count,-0.005684234685725156
10,1,21260829,591,6,"Praise, gratitude and social endorsement",likes_per_1000_views,0.10233958872708708
10,1,21260829,591,6,"Praise, gratitude and social endorsement",api_comments_per_1000_views,0.252384634121629
10,1,21260829,591,6,"Praise, gratitude and social endorsement",views_per_day,-0.2993811769675655
10,1,21260829,591,6,"Praise, gratitude and social endorsement",api_comments_per_day,-0.1291247360048842
10,1,21260829,591,7,"Alternative methods, challenges and ""why"" questions",duration_minutes,-0.1596852272096103
10,1,21260829,591,7,"Alternative methods, challenges and ""why"" questions",view_count,0.07476282154209195
10,1,21260829,591,7,"Alternative methods, challenges and ""why"" questions",like_count,0.04023384252205614
10,1,21260829,591,7,"Alternative methods, challenges and ""why"" questions",api_comment_count,-0.008486755226990871
10,1,21260829,591,7,"Alternative methods, challenges and ""why"" questions",likes_per_1000_views,-0.03241186722158662
10,1,21260829,591,7,"Alternative methods, challenges and ""why"" questions",api_comments_per_1000_views,-0.12284215824349409
10,1,21260829,591,7,"Alternative methods, challenges and ""why"" questions",views_per_day,0.08969827158734156
10,1,21260829,591,7,"Alternative methods, challenges and ""why"" questions",api_comments_per_day,0.019145070470193978
10,1,21260829,591,8,"Solar PV, batteries and power systems",duration_minutes,0.10872291042998568
10,1,21260829,591,8,"Solar PV, batteries and power systems",view_count,-0.013375969151553068
10,1,21260829,591,8,"Solar PV, batteries and power systems",like_count,0.06356683050270434
10,1,21260829,591,8,"Solar PV, batteries and power systems",api_comment_count,0.1119065293790765
10,1,21260829,591,8,"Solar PV, batteries and power systems",likes_per_1000_views,0.20519487555856067
10,1,21260829,591,8,"Solar PV, batteries and power systems",api_comments_per_1000_views,0.15425345070379134
10,1,21260829,591,8,"Solar PV, batteries and power systems",views_per_day,0.07066833659243713
10,1,21260829,591,8,"Solar PV, batteries and power systems",api_comments_per_day,0.18775880214103988
10,1,21260829,591,9,Performance checking and troubleshooting,duration_minutes,-0.05955744255316281
10,1,21260829,591,9,Performance checking and troubleshooting,view_count,0.030461391564807684
10,1,21260829,591,9,Performance checking and troubleshooting,like_count,0.0007422840499548872
10,1,21260829,591,9,Performance checking and troubleshooting,api_comment_count,-0.03155716325664544
10,1,21260829,591,9,Performance checking and troubleshooting,likes_per_1000_views,-0.05284071181936346
10,1,21260829,591,9,Performance checking and troubleshooting,api_comments_per_1000_views,-0.06855179219322201
10,1,21260829,591,9,Performance checking and troubleshooting,views_per_day,-0.007793989520136868
10,1,21260829,591,9,Performance checking and troubleshooting,api_comments_per_day,-0.06341306952737498
10,1,21260829,591,10,"Implementation follow-up, outcomes and retrospective questions",duration_minutes,0.023548370064687466
10,1,21260829,591,10,"Implementation follow-up, outcomes and retrospective questions",view_count,0.04281306232884389
10,1,21260829,591,10,"Implementation follow-up, outcomes and retrospective questions",like_count,0.018976890735063548
10,1,21260829,591,10,"Implementation follow-up, outcomes and retrospective questions",api_comment_count,0.04631400074368284
10,1,21260829,591,10,"Implementation follow-up, outcomes and retrospective questions",likes_per_1000_views,-0.01856134653308638
10,1,21260829,591,10,"Implementation follow-up, outcomes and retrospective questions",api_comments_per_1000_views,-0.03684978695622419
10,1,21260829,591,10,"Implementation follow-up, outcomes and retrospective questions",views_per_day,0.0504224215619546
10,1,21260829,591,10,"Implementation follow-up, outcomes and retrospective questions",api_comments_per_day,0.05679980480221831
10,1,21260829,591,11,"Product sourcing, access and location questions",duration_minutes,-0.031909362092519836
10,1,21260829,591,11,"Product sourcing, access and location questions",view_count,0.0737033533143375
10,1,21260829,591,11,"Product sourcing, access and location questions",like_count,0.06195523199452842
10,1,21260829,591,11,"Product sourcing, access and location questions",api_comment_count,0.035933382338572614
10,1,21260829,591,11,"Product sourcing, access and location questions",likes_per_1000_views,0.014670876959431966
10,1,21260829,591,11,"Product sourcing, access and location questions",api_comments_per_1000_views,-0.06036184342474216
10,1,21260829,591,11,"Product sourcing, access and location questions",views_per_day,0.06190654519417379
10,1,21260829,591,11,"Product sourcing, access and location questions",api_comments_per_day,0.024628319943252052
10,1,21260829,591,12,Roof and attic ventilation and airflow,duration_minutes,-0.12804387616427376
10,1,21260829,591,12,Roof and attic ventilation and airflow,view_count,0.050268548008264795
10,1,21260829,591,12,Roof and attic ventilation and airflow,like_count,0.05209234031480624
10,1,21260829,591,12,Roof and attic ventilation and airflow,api_comment_count,0.01704694545673535
10,1,21260829,591,12,Roof and attic ventilation and airflow,likes_per_1000_views,-0.03369479684528007
10,1,21260829,591,12,Roof and attic ventilation and airflow,api_comments_per_1000_views,-0.06564120928117416
10,1,21260829,591,12,Roof and attic ventilation and airflow,views_per_day,0.07034034344430345
10,1,21260829,591,12,Roof and attic ventilation and airflow,api_comments_per_day,0.030360338213691683
10,1,21260829,591,13,"Wall, cavity and floor insulation",duration_minutes,-0.0907902954115217
10,1,21260829,591,13,"Wall, cavity and floor insulation",view_count,-0.030265615700058243
10,1,21260829,591,13,"Wall, cavity and floor insulation",like_count,-0.014247576102538491
10,1,21260829,591,13,"Wall, cavity and floor insulation",api_comment_count,-0.05196805879837023
10,1,21260829,591,13,"Wall, cavity and floor insulation",likes_per_1000_views,-0.04090507050756173
10,1,21260829,591,13,"Wall, cavity and floor insulation",api_comments_per_1000_views,-0.02701534495405181
10,1,21260829,591,13,"Wall, cavity and floor insulation",views_per_day,-0.0101597520536672
10,1,21260829,591,13,"Wall, cavity and floor insulation",api_comments_per_day,-0.027703499772124465
10,1,21260829,591,14,Thermostat wiring and smart heating controls,duration_minutes,0.11507961055609056
10,1,21260829,591,14,Thermostat wiring and smart heating controls,view_count,-0.04041104157394725
10,1,21260829,591,14,Thermostat wiring and smart heating controls,like_count,-0.07360431727423195
10,1,21260829,591,14,Thermostat wiring and smart heating controls,api_comment_count,-0.06351844937961745
10,1,21260829,591,14,Thermostat wiring and smart heating controls,likes_per_1000_views,-0.045990878519138724
10,1,21260829,591,14,Thermostat wiring and smart heating controls,api_comments_per_1000_views,-0.009641564858802442
10,1,21260829,591,14,Thermostat wiring and smart heating controls,views_per_day,-0.10321275285441825
