comments_sampled_per_video,eligible_videos,topic_number,topic_label,metric,repetitions,median_rho,mean_rho,rho_q025,rho_q25,rho_q75,rho_q975,minimum_rho,maximum_rho,positive_fraction,negative_fraction,stage_08c_threshold_rho,median_minus_stage_08c_rho
10,591,1,Situated household retrofit experience and building context,api_comment_count,100,0.07086952961027272,0.07171667640610636,0.03689161663336097,0.060916090385752464,0.08154356127455907,0.11142103411160455,0.03250136119604097,0.1284518880611346,1.0,0.0,0.1063378010482573,-0.035468271437984575
10,591,1,Situated household retrofit experience and building context,api_comments_per_1000_views,100,0.05619554424940298,0.05626913203317746,0.011216970487221282,0.04183734894233474,0.07305836982125376,0.0942178660205417,0.0031689264761621287,0.10132827269323871,1.0,0.0,0.0653635266514901,-0.009167982402087126
10,591,1,Situated household retrofit experience and building context,api_comments_per_day,100,0.1255512136932596,0.12644179469411768,0.09021667342943046,0.1138842689587979,0.13711141236737037,0.17046788346033373,0.07510678965983104,0.17752010808020444,1.0,0.0,0.1689704244380317,-0.04341921074477209
10,591,1,Situated household retrofit experience and building context,duration_minutes,100,-0.06067498399198567,-0.060746449354872764,-0.10467577540591623,-0.07555850001709427,-0.04692602220472719,-0.013166782062613933,-0.11583928842880438,-0.0075152791327839094,0.0,1.0,-0.0721009981160191,0.011426014124033428
10,591,1,Situated household retrofit experience and building context,like_count,100,0.07139217922131938,0.07143245628194383,0.036889624056661484,0.05642817821208506,0.08282880915144286,0.11024570855683766,0.03281065062595055,0.12344779998535596,1.0,0.0,0.0988924513196268,-0.027500272098307424
10,591,1,Situated household retrofit experience and building context,likes_per_1000_views,100,0.10221340734856979,0.10286107969568886,0.0671705605490242,0.08628903873637764,0.11899513341108382,0.145239898186911,0.06164486249728856,0.15616668657795782,1.0,0.0,0.1212452516387301,-0.019031844290160305
10,591,1,Situated household retrofit experience and building context,view_count,100,0.020188535778314663,0.021702618410374585,-0.009206060734657052,0.005561854873026686,0.04108365926366872,0.060137738024094806,-0.02773851240899335,0.07465707555615497,0.83,0.17,0.0430511148677714,-0.022862579089456735
10,591,1,Situated household retrofit experience and building context,views_per_day,100,0.07078483133395806,0.0712691616808239,0.036117072451871984,0.05672498726895182,0.08617069545239983,0.11141151282057243,0.02126730318032047,0.12167510365049726,1.0,0.0,0.1006904994988966,-0.02990566816493853
10,591,2,Spray foam and foam insulation,api_comment_count,100,-0.028906921869292668,-0.02752794789920698,-0.06529923792444972,-0.03990071379788436,-0.013574697543906025,0.015354351915186385,-0.07830793101891756,0.03756658213559953,0.09,0.91,0.049486389972576,-0.07839331184186867
10,591,2,Spray foam and foam insulation,api_comments_per_1000_views,100,-0.2387740442253462,-0.23684847730094422,-0.27710990530983987,-0.24900396499854646,-0.22116110035672104,-0.1940130149777192,-0.2840894836689883,-0.17878919872196078,0.0,1.0,-0.2514827967326571,0.012708752507310905
10,591,2,Spray foam and foam insulation,api_comments_per_day,100,0.01913041455021309,0.01908833119931016,-0.02315046438391515,0.007658537907415803,0.028450355039154267,0.06178156710944223,-0.03695712965370065,0.09518249946245326,0.86,0.14,0.0830741707196031,-0.06394375616939002
10,591,2,Spray foam and foam insulation,duration_minutes,100,-0.19772813516886084,-0.19764894098440894,-0.24540314750178446,-0.21064031258841998,-0.18322684270267206,-0.15998904450489285,-0.2561130927077707,-0.1504647889793933,0.0,1.0,-0.1926010775877235,-0.005127057581137351
10,591,2,Spray foam and foam insulation,like_count,100,0.11505814019170033,0.1143829222803209,0.06632754186216493,0.09978884790599048,0.13202924430646484,0.15058330519439986,0.06014980062095142,0.1667247116663345,1.0,0.0,0.1861701007531807,-0.07111196056148036
10,591,2,Spray foam and foam insulation,likes_per_1000_views,100,-0.09606912401113163,-0.09475100358154963,-0.12674156511833087,-0.11072244411026169,-0.08080918256887343,-0.05070600791651056,-0.15521048877400695,-0.04230945254211495,0.0,1.0,-0.0854588126692284,-0.010610311341903225
10,591,2,Spray foam and foam insulation,view_count,100,0.13484406691354658,0.13446616784595936,0.09112165454634716,0.11721192199599993,0.15192856616052255,0.1697001442010829,0.08090936071296348,0.17953038382135622,1.0,0.0,0.1988294409891872,-0.06398537407564062
10,591,2,Spray foam and foam insulation,views_per_day,100,0.1785590252478637,0.17662473565959,0.13397585137649956,0.16186280976945028,0.19195542920293948,0.22023769081519484,0.13256963545551176,0.22766841618278716,1.0,0.0,0.2399274504546361,-0.06136842520677238
